YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.0,0.0,0.0,122.1,21.2,35.7,59.0,118.1,65.5,29.1,137.8,0.3
2013,0.2,4.5,15.6,37.2,147.0,110.7,149.1,115.5,161.9,70.6,4.2,0.0
2014,2.3,0.6,7.6,81.2,120.0,66.2,141.2,216.4,109.2,169.4,34.2,30.1
2015,0.8,0.0,6.8,30.7,130.0,93.3,79.2,85.4,149.2,89.4,41.6,0.7
2016,0.4,0.0,0.0,0.4,76.5,147.6,126.2,35.1,85.4,15.7,0.0,7.2
