YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 8.1 -21 15.9 -41 3.0 -94 288.5 64 211.7 -46 1107.9 60 496.7 -34 223.3 -58 446.3 -3 177.8 25 0.0 -100 0.7 -94
2013 0.0 -100 12.8 -52 18.3 -66 134.2 -24 356.2 -9 293.9 -58 494.6 -35 248.3 -53 498.5 8 121.8 -14 5.8 -72 0.5 -96
2014 0.0 -100 29.3 9 13.9 -74 71.4 -59 544.4 39 589.1 -15 404.8 -47 641.1 22 341.6 -26 13.0 -91 0.1 -99 0.0 -100
2015 7.6 -26 5.4 -80 37.3 -31 208.4 19 466.0 19 907.4 31 341.6 -55 861.7 63 328.6 -29 21.0 -85 22.8 12 11.1 -13
2016 7.8 -24 0.5 -98 52.0 -4 340.1 94 340.7 -13 580.8 -16 712.8 -6 122.7 -77 363.0 -21 112.7 -21 0.0 -100 0.0 -100
