YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 17.0 32 0.0 -100 13.0 30 19.2 34 1.0 -98 197.4 19 183.1 -40 128.4 -53 288.6 25 73.7 3
2013 0.0 -100 0.0 -100 0.0 -100 49.8 248 58.6 31 147.8 -11 219.1 -28 201.0 -26 123.6 -47 178.8 150 3.2 -51 0.0 -100
2014 9.5 -26 26.0 271 34.2 242 0.0 -100 269.7 501 42.2 -75 494.9 62 263.7 -3 146.8 -37 38.0 -47 0.0 -100
2015 8.4 -35 9.0 29 19.6 96 34.1 138 13.0 -71 205.0 24 177.3 -42 430.4 59 206.7 -11 0.4 -99 0.0 -100 0.0 -100
2016 4.6 -64 0.0 -100 0.0 -100 0.0 -100 41.2 -8 15.0 -91 219.6 -28 121.4 -55 466.2 101 31.0 -57 0.0 -100 0.0 -100
