YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,1.8,0.0,0.5,105.9,61.5,10.6,41.3,52.5,33.5,138.2,73.4,10.3
2013,0.0,0.4,4.8,74.4,82.9,46.5,75.9,75.5,157.1,108.3,49.3,3.8
2014,0.0,1.9,22.5,42.2,128.9,47.8,45.5,122.9,102.2,172.2,10.4,10.2
2015,0.3,0.0,29.3,108.8,148.4,86.1,14.0,68.7,135.5,109.2,205.9,9.1
2016,5.5,0.9,2.2,8.2,102.5,62.9,67.2,10.4,20.2,13.0,3.9,23.9
