YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 36.9 177 0.0 -100 0.0 -100 11.5 203 0.0 -100 7.5 -87 175.1 -19 189.0 -27 49.9 -65 0.0 -100 0.0 -100 0.0 -100
2013 13.3 0 31.1 185 0.0 -100 0.0 -100 0.0 -100 146.1 146 187.8 -13 334.9 30 42.1 -70 73.2 106 0.0 -100 13.2 164
2014 85.3 541 20.4 87 7.5 0 1.9 -50 2.6 -75 23.1 -61 51.1 -76 46.7 -82 90.9 -36 17.8 -50 0.0 -100 13.6 172
2015 32.3 142 0.0 -100 64.1 755 45.9 1107 12.6 22 33.8 -43 202.4 -7 184.1 -29 15.8 -89 1.8 -95 0.0 -100 16.8 235
2016 1.4 -89 0.7 -94 4.5 -41 0.0 -100 14.9 45 61.3 3 277.9 28 145.9 -43 15.3 -89 15.9 -55 0.0 -100 0.0 -100
