YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 48.0 281 0.0 -100 0.0 -100 9.0 18 10.0 -40 140.0 -1 317.0 13 191.0 -33 240.0 38 7.0 -88 75.0 576 0.0 -100
2013 0.0 -100 28.0 101 6.0 -57 58.0 663 0.0 -100 158.0 11 273.6 -3 182.4 -36 145.0 -17 223.0 279 0.0 -100 0.0 -100
2014 0.0 -100 46.0 231 16.0 14 45.3 496 17.6 5 139.8 -1 519.2 85 214.3 -25 141.9 -18 149.0 153 0.0 -100 0.0 -100
2015 9.8 -22 0.0 -100 3.0 -79 0.0 -100 27.6 65 168.6 19 207.6 -26 201.3 -30 187.8 8 21.6 -63 0.0 -100 0.0 -100
2016 0.0 -100 5.4 -60 8.0 -45 0.0 -100 0.0 -100 131.6 -1 246.6 -16 230.4 -21 244.3 38 28.5 -54 0.0 -100 0.0 -100
