YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 19.6 45 0.0 -100 56.8 -33 158.7 9 93.2 -55 311.9 -16 270.8 -16 246.3 -12 272.3 44 137.4 -5 80.8 124 0.0 -100
2013 0.0 -100 1.0 -97 29.0 -66 103.7 -29 376.2 80 137.9 -63 275.9 -15 313.8 12 250.1 32 75.9 -47 0.0 -100 1.3 -84
2014 0.0 -100 23.0 -33 29.4 -65 36.2 -75 228.8 10 308.5 -17 72.3 -78 228.1 -19 99.8 -47 31.0 -78 0.0 -100 0.0 -100
2015 41.3 206 5.4 -84 17.8 -79 199.9 37 45.5 -78 225.1 -39 328.6 1 251.3 -10 154.2 -18 112.7 -22 9.8 -73 0.2 -98
2016 6.6 -51 25.6 -25 51.0 -40 211.9 46 310.9 49 153.5 -59 305.9 -6 89.1 -68 162.3 -14 122.9 -15 58.5 62 2.1 -74
