YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.7,2.3,0.0,123.0,53.2,35.5,38.8,76.6,64.9,88.5,38.1,4.9
2013,0.0,1.8,6.1,61.2,76.0,105.8,130.3,67.1,111.6,123.8,46.2,0.1
2014,0.4,2.3,14.1,40.5,151.5,66.6,122.0,139.0,164.5,146.8,3.8,28.6
2015,2.4,0.1,32.9,99.1,167.6,182.4,30.6,113.8,116.6,93.9,132.8,9.0
2016,4.3,1.8,11.6,19.4,95.5,119.2,106.7,24.1,17.0,14.7,4.5,31.0
