YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.0,0.0,0.0,124.6,42.6,46.2,83.6,91.4,67.5,53.2,108.4,0.0
2013,16.3,6.0,3.6,45.9,60.9,125.4,214.2,91.3,143.0,69.8,1.7,0.0
2014,0.0,2.1,6.8,69.0,126.1,77.9,259.3,236.6,96.0,144.7,45.8,13.1
2015,0.0,0.0,20.0,19.6,109.2,172.3,64.8,87.6,73.0,99.0,19.8,0.3
2016,0.3,0.4,3.5,9.4,76.9,163.7,126.2,68.0,46.5,8.4,15.5,2.0
