YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 0.0 -100 16.0 -56 173.0 122 44.0 -75 88.0 -86 0.0 -100 0.0 -100 0.0 -100 0.0 -100 0.0 -100
2013 0.0 -100 0.0 -100 4.0 -89 0.0 -100 21.0 -88 62.0 -76 0.0 -100 0.0 -100
2014 0.0 -100 0.0 -100 20.0 -45 25.0 -68 133.0 -26 191.0 -69 149.0 -72 177.0 -64 182.0 -50 61.0 -76 0.0 -100 0.0 -100
2015 21.0 147 5.0 -82
2016 26.0 -28 137.0 76 308.0 72 98.0 -62 47.0 -3 0.0 -100
