YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 113.0 35 181.0 18 459.0 51 429.0 12 214.0 -20 651.0 74 264.0 -3 202.0 26 383.0 44 113.0 -32 3.3 -95 90.0 61
2013 57.0 -32 81.0 -47 185.0 -39 233.0 -39 471.0 76 127.0 -66 123.0 -55 64.0 -60 293.0 10 295.0 76 22.0 -66 8.5 -85
2014 40.0 -52 212.0 38 98.0 -68 29.0 -92 49.0 -82
2015 66.0 -21 96.0 -38 80.0 43
2016 52.0 -38 113.0 -27 103.0 -66 82.0 -79 229.0 37 14.0 -78 0.0 -100
