YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.0,0.0,0.0,131.4,44.3,20.3,40.7,139.9,61.6,35.0,102.0,0.4
2013,0.0,4.7,2.8,16.3,110.4,86.8,77.9,57.9,167.8,55.5,3.6,0.1
2014,0.3,1.4,18.7,53.9,142.4,55.9,96.9,179.7,82.6,177.5,35.6,11.4
2015,0.4,0.0,18.1,34.4,106.6,74.7,42.5,84.8,152.6,120.3,54.6,1.2
2016,0.9,0.0,0.8,3.4,65.8,78.5,81.5,8.3,48.8,18.1,0.2,15.5
