YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 -100 0.0 -100 42.0 -31 219.0 58 98.0 -66 269.0 -49 498.0 -5 386.0 -2 246.0 6 62.0 -55 8.0 -81 0.0 -100
2013 1.0 -96 21.0 -32 86.0 41 178.0 29 431.0 50 163.0 -69 76.0 -86 79.0 -80 229.0 -1 96.0 -30 0.0 -100 5.0 -60
2014 24.0 3 34.0 9 24.0 -61 59.0 -57 72.0 -75 120.0 -77
2015 77.0 -85 195.0 -63 200.0 -49 83.0 -64 34.0 -75 0.0 -100 12.0 -4
2016 11.0 -53 8.0 -74 3.0 -95 6.0 -96 49.0 -79 40.0 -71 20.0 -54 0.0 -100
