YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 0.0 -100 0.0 -100 0.8 -43 10.0 79 54.9 -42 392.8 30 418.8 23 111.6 -28 0.0 -100 0.0 -100 0.0 -100
2013 0.0 -100 40.0 926 28.0 483 0.2 -86 0.0 -100 288.6 205 598.4 98 503.4 48 57.4 -63 47.2 75 0.0 -100 12.8 41
2014 3.2 -68 32.4 732 1.0 -79 3.1 121 1.2 -79 38.1 -60 382.6 27 373.2 10 162.5 5 0.0 -100 0.0 -100 20.2 122
2015 57.9 474 5.6 45 41.8 772 8.1 477 1.2 -79 191.7 103 899.3 198 334.3 -2 23.8 -85 1.6 -94 0.0 -100 0.0 -100
2016 10.9 8 0.0 -100 0.1 -98 0.0 -100 9.7 74 125.7 33 460.1 53 685.3 102 49.9 -68 36.1 34 0.0 -100 0.0 -100
