YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 119.6 91 26.5 -60 16.6 -69 37.3 43 2.2 -95 23.0 -79 244.7 -22 343.5 13 170.9 11 4.0 -85 2.5 -82 18.3 -36
2013 56.2 -10 134.3 101 61.5 14 2.1 -92 28.8 -30 271.1 152 205.2 -34 275.1 -10 81.2 -47 8.5 -69 11.0 -21 27.6 -4
2014 51.9 -17 82.7 24 72.6 34 28.5 9 37.1 -10 67.2 -37 236.8 -24 237.2 -22 97.0 -37 6.3 -77 0.0 -100 63.9 123
2015 64.7 4 82.5 23 196.6 264 63.1 142 28.9 -30 84.4 -21 294.5 -6 280.9 -8 57.9 -62 14.9 -45 2.6 -82 31.0 8
2016 11.4 -82 23.0 -66 78.1 45 3.3 -87 87.3 112 176.9 65 168.3 -46 397.6 31 90.8 -41 9.2 -66 0.0 -100 4.5 -84
