YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 0.0 -100 4.9 -60 40.5 2 107.2 8 13.0 -77 85.3 13 98.9 3 45.3 -74 196.5 11 78.7 1 24.8 -28
2013 0.0 -100 7.2 24 1.2 -90 39.1 -2 105.1 6 47.2 -16 22.4 -70 95.7 -1 212.9 24 143.6 -19 83.7 7 7.9 -77
2014 0.0 -100 1.7 -71 7.7 -37 6.5 -84 189.6 91 77.1 38 39.6 -47 71.1 -26 84.8 -50 213.1 20 33.5 -57 32.9 -5
2016 0.2 -97 0.0 -100 1.9 -84 3.8 -90 144.4 45 87.0 56 185.5 146 49.1 -49 5.2 -97 34.7 -80 8.5 -89 76.9 122
