YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 11.0 -15 0.0 -100 7.6 -24 9.2 -36 3.5 -92 81.2 -51 185.5 -39 116.8 -57 241.0 4 114.0 60 2.0 -69 0.0 -100
2013 0.0 -100 5.2 -26 0.0 -100 48.2 237 66.2 47 50.0 -70 89.0 -71 124.0 -54 141.0 -39 84.0 18 0.0 -100 0.0 -100
2014 15.0 16 15.3 119 5.0 -50 0.0 -100 224.3 400 230.0 39 433.0 42 522.2 93 128.5 -45 45.5 -36 0.0 -100 1.0 -83
2015 2.7 -79 0.0 -100 31.1 211 25.5 78 22.0 -51 170.3 3 297.1 -3 237.0 -13 86.4 -63 0.8 -99 0.0 -100 0.0 -100
2016 16.1 25 0.0 -100 7.3 -27 0.0 -100 32.6 -27 72.2 -56 341.0 12 165.5 -39 439.9 90 29.9 -58 0.0 -100 0.0 -100
