YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 0.0 -100 0.0 -100 65.8 37 60.0 -51 10.0 -86 76.1 -10 85.3 -22 42.9 -77 89.0 -49 96.7 79 14.3 -5
2013 0.0 -100 1.0 -79 6.6 -35 61.7 29 87.5 -28 90.7 24 48.6 -42 112.8 4 263.7 41 88.0 -49 32.9 -39 5.5 -63
2014 0.0 -100 0.3 -94 46.4 355 32.4 -32 88.8 -27 91.0 24 32.5 -62 111.4 2 186.3 -1 189.2 9 26.9 -50 5.1 -66
2015 1.5 0 0.0 -100 17.2 68 139.5 191 161.3 32 80.2 10 28.8 -66 136.0 25 226.8 21 81.1 -53 196.5 264 2.9 -81
2016 2.2 47 0.0 -100 0.2 -99 3.8 -92 113.4 -7 72.9 0 184.6 118 70.7 -35 29.2 -84 49.9 -71 7.6 -86 57.5 283
