YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 0.0 -100 0.0 -100 0.0 -100 0.0 -100 52.5 -72 274.8 13 141.5 -45 184.9 12 58.2 -12 0.0 -100
2013 6.8 42 2.7 -63 14.6 139 0.0 -100 257.5 39 418.3 72 206.8 -19 140.7 -15 139.4 111 1.3 -86
2014 24.0 400 80.2 1014 8.3 36 0.0 -100 18.6 -90 87.5 -64 160.9 -37 160.1 -3 6.7 -90 0.0 -100 0.0 -100
2015 20.0 301 7.5 57 35.8 398 39.8 552 9.5 -29 164.1 -11 44.0 -82 170.2 -33 192.2 17 6.8 -90 0.0 -100 0.0 -100
2016 0.0 -100 13.6 88 2.5 -59 1.8 -86 171.5 -7 321.8 32 80.8 -68 226.5 37 115.3 74 0.0 -100
