YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 23.0 22 0.9 -96 1.1 -96 71.4 6 70.0 7 0.2 -99 20.6 -42 34.5 -33 24.8 -72 221.9 23 38.6 -78 4.1 -94
2013 1.7 -91 40.6 69 51.5 79 16.8 -75 20.7 -68 16.8 -24 0.5 -99 130.2 153 42.0 -52 137.1 -24 86.9 -50 72.7 11
2014 3.3 -82 1.7 -93 14.3 -50 20.6 -69 156.3 140 22.6 2 10.7 -70 66.3 29 44.7 -49 160.0 -11 116.7 -32 31.4 -52
2016 3.0 -84 0.0 -100 1.7 -94 3.1 -95 77.6 19 6.9 -69 60.0 68 24.0 -53 25.7 -71 72.5 -60 42.9 -75 57.9 -12
