YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 0.0 -100 0.0 -100 9.6 26 2.5 -91 63.3 -60 161.5 -48 202.7 -10 116.6 -30 133.3 53 1.1 -95 0.0 -100
2013 0.5 -17 0.3 200 0.9 -44 0.0 -100 0.8 -97 293.4 87 397.2 27 128.8 -43 233.3 40 32.2 -63 13.6 -44 5.4 -10
2014 1.2 100 1.2 1100 36.9 2206 4.3 -43 21.8 -20 42.6 -73 385.5 23 345.0 53 104.7 -37 29.2 -66 22.7 -7 12.2 103
2015 0.0 -100 0.6 500 50.2 3035 13.3 75 29.3 7 229.6 46 142.1 -55 53.8 -76 156.6 -6 83.1 -5 45.3 87 0.0 -100
2016 0.0 -100 0.2 120 4.4 178 0.5 -94 13.9 -49 77.8 -50 445.8 42 417.6 86 197.1 19 57.6 -34 0.0 -100 0.0 -100
