YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 4.2 -69 0.0 -100 5.2 -37 28.2 191 1.2 -96 16.0 -89 279.8 -4 164.7 -31 255.7 35 101.6 75 10.7 70 0.0 -100
2013 0.0 -100 3.6 -56 0.0 -100 7.4 -24 76.4 128 107.7 -25 97.5 -67 123.4 -49 48.5 -74 132.9 129 0.0 -100 0.0 -100
2014 27.0 97 16.0 95 6.7 -18 0.0 -100 154.7 362 131.6 -9 383.1 31 259.0 8 257.5 36 14.8 -75 0.0 -100 2.2 -56
2015 2.6 -81 0.0 -100 33.4 307 7.0 -28 10.1 -70 186.7 29 305.5 5 267.3 11 79.0 -58 0.0 -100 0.0 -100 0.0 -100
2016 0.0 -100 0.0 -100 0.0 -100 0.0 -100 36.6 9 180.9 25 211.5 -27 230.5 -4 282.5 49 105.8 82 0.0 -100 0.0 -100
