YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 11.4 41 11.1 -64 13.2 -83 191.8 13 125.7 -62 500.6 5 364.5 -27 290.1 -27 218.5 -14 111.5 -36 54.8 23 0.5 -95
2013 0.0 -100 3.3 -89 10.8 -86 28.7 -83 703.1 110 274.8 -42 229.7 -54 326.7 -18 325.2 27 146.7 -16 0.0 -100 0.6 -94
2014 0.0 -100 8.4 -73 2.8 -96 24.7 -85 253.2 -24 546.1 15 210.7 -58 411.0 4 259.0 2 68.0 -61 6.1 -86 0.1 -99
2015 1.9 -77 1.9 -94 9.9 -87 242.8 43 281.6 -16 334.0 -30 746.0 50 445.4 12 410.4 61 133.0 -24 0.8 -98 2.0 -79
2016 0.0 -99 31.5 3 106.4 35 71.3 -58 382.3 14 240.2 -49 448.1 -10 350.4 -12 248.1 -3 194.7 11 188.1 323 0.0 -100
