YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.0,0.0,1.0,112.5,20.1,284.8,466.1,664.4,223.4,54.6,85.3,0.8
2013,3.6,18.8,6.4,33.8,77.7,527.4,1239.4,476.4,222.2,136.0,13.5,1.2
2014,0.0,8.3,9.9,71.8,141.9,303.3,1105.6,849.9,312.9,127.2,22.1,25.0
2015,0.0,0.0,25.6,47.4,129.7,568.0,294.1,241.6,129.0,89.7,64.9,0.4
2016,0.8,0.0,0.0,1.9,57.9,399.2,440.9,313.1,157.3,38.1,32.6,3.9
