YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 6.0 -42 14.8 26 0.5 -99 138.2 -6 199.2 -49 1040.3 73 360.0 -35 282.5 -33 467.1 37 222.9 44 0.0 -100 0.0 -100
2013 0.0 -100 8.7 -26 6.4 -86 114.5 -22 266.0 -32 358.7 -41 183.2 -67 280.8 -33 175.6 -48 112.2 -28 7.4 -61 0.0 -100
2014 1.3 -87 16.3 39 31.0 -33 46.5 -68 405.5 4 641.6 6 204.2 -63 447.2 7 443.2 30 9.1 -94 0.0 -100 2.9 -29
2015 33.9 229 10.0 -14 109.6 135 192.7 31 503.3 29 890.7 48 185.5 -67 482.8 15 248.8 -27 11.0 -93 13.9 -27 11.0 168
2016 8.4 -18 0.3 -97 102.6 120 235.5 60 444.3 13 596.3 -1 418.1 -25 190.9 -54 231.0 -32 171.8 11 0.0 -100 1.4 -65
