YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 15.0 -56 0.0 -100 6.0 -95 84.0 -70 87.5 -85 885.9 -33 978.3 -39 362.0 -61 617.1 -25 352.2 -32 15.5 -86 0.0 -100
2013 0.0 -100 1.0 -98 18.5 -84 92.7 -67 551.0 -8 487.0 -63 434.0 -73 380.4 -59 234.2 -72 197.0 -62 0.0 -100 0.0 -100
2014 0.0 -100 33.0 -25 21.0 -82 59.1 -79 567.7 -5 519.6 -61 921.5 -42 1066.3 14 597.7 -28 52.0 -90 1.0 -99 0.0 -100
2015 40.0 18 35.3 -20 71.0 -38 461.5 63 293.5 -51 918.0 -30 730.8 -54 856.0 -8 410.4 -50 80.0 -85 0.0 -100 0.0 -100
2016 14.5 -57 2.4 -95 22.1 -81 230.2 -18 720.6 -45 296.0 -68 405.0 -22 174.0 57
