YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 1.0 -96 10.0 -85 67.0 -62 49.5 -78 123.4 -65 188.0 -57 227.2 -35 30.0 -88 61.3 -50 19.0 -54 0.0 -100
2013 0.0 -100 3.0 -89 15.3 -77 30.4 -83 11.0 -95 88.9 -75 223.0 -50 108.4 -69 100.1 -59 54.2 -56 0.0 -100 1.0 -91
2014 3.7 -84 29.0 8 15.0 -77 38.0 -79 46.5 -79 43.0 -88 89.3 -80 100.8 -58 45.8 -63 0.0 -100 0.0 -100
2015 0 0 1.8 -97 69.2 -61 47.0 -79 77.6 -78 145.2 -67 112.2 -68 101.0 -58 0 12.4 -70 0
2016 10.6 -55 2.8 -90 60.2 -66 152.2 -57 157.0 -35 44.5 -64 49.0 18 3.7 -65
