YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 5.5 175 2.2 -71 35.7 -38 58.3 -75 742.8 -13 476.0 -55 732.3 35 366.8 66 160.7 -30 84.0 -8 2.6 -89
2013 0.0 -100 35.5 1675 38.0 400 29.2 -50 97.4 -59 1503.7 76 1194.4 13 421.3 -22 321.9 46 318.8 39 50.0 -45 12.2 -49
2014 2.3 -8 8.4 320 0.0 -100 23.2 -60 253.4 8 634.2 -26 1027.2 -3 876.0 62 325.0 47 256.8 12 97.4 6 29.6 23
2015 5.0 101 0.0 -100 12.3 61 93.9 62 172.5 -27 696.6 -18 803.0 -24 352.9 -35 317.2 44 331.5 44 167.3 83 28.6 18
2016 0.0 -100 0.0 -100 0.8 -90 1.0 -98 138.4 -41 801.8 -6 616.1 -42 436.5 -19 136.6 -38 45.1 -80 22.0 -76 17.3 -28
