YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 156.5 54 101.2 9 34.0 -60 91.9 111 15.5 -61 49.3 -41 369.5 -16 811.3 46 227.9 -6 1.4 -97 14.6 20 98.3 73
2013 74.0 -27 222.0 139 56.9 -33 33.5 -23 55.3 38 200.3 141 839.1 90 1096.0 97 168.4 -30 150.8 257 29.5 142 15.7 -72
2014 99.0 -2 104.6 12 232.5 175 101.0 132 23.8 -41 56.3 -32 414.1 -6 311.1 -44 681.7 182 70.0 66 9.5 -22 0.0 -100
2015 25.4 -75 207.7 123 559.9 562 181.7 318 52.5 31 122.7 47 361.9 -18 433.0 -22 259.6 7 79.6 89 19.8 62 30.8 -46
2016 15.8 -84 30.7 -67 176.5 109 22.4 -49 88.5 121 101.2 22 479.6 9 567.8 2 179.6 -26 8.6 -80 0.0 -100 4.1 -93
