YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 0.0 -100 0.0 -100 0.0 -100 0.0 -100 39.7 -66 171.4 1 113.3 -14 69.3 -34 10.6 -76 0.0 -100
2013 20.5 1950 1.0 -69 0.8 -50 0.0 -100 220.2 87 277.2 64 166.5 27 145.3 37 89.6 106 0.0 -100
2014 11.5 360 6.5 550 26.4 725 0.0 -100 0.0 -100 48.0 -59 226.3 34 105.4 -20 171.7 62 2.6 -94 22.5 35 0.4 -92
2015 151.6 29 93.8 -44 78.2 -41 210.0 99 6.6 -85 0.5 -97 0.0 -100
2016 0.0 -100 0.0 -100 4.0 25 0.0 -100 2.4 -77 91.0 -23 124.0 -27 93.7 -29 110.9 5 73.1 68 0.0 -100
