YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 18.0 -22 0.6 -98 9.1 -74 70.8 -14 55.4 -53 183.1 8 181.1 -31 266.8 47 230.5 55 326.2 50 104.8 -42 21.2 -73
2013 0.9 -96 16.9 -35 57.9 63 74.1 -10 114.0 -3 203.9 20 288.7 11 177.2 -2 202.5 36 215.2 -1 126.5 -30 56.4 -29
2014 1.3 -94 39.8 52 32.5 -9 35.6 -57 253.7 116 97.1 -43 328.6 26 295.7 63 291.9 97 348.7 60 137.4 -24 94.8 20
2016 12.4 -46 0.0 -100 4.9 -86 13.0 -84 102.3 -13 198.4 17 188.9 -28 72.0 -60 54.1 -64 50.5 -77 85.1 -53 107.6 36
