YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 54.2 734 0.0 -100 0.0 -100 20.0 117 0.9 -95 152.2 -11 397.3 13 387.8 19 185.5 -6 21.1 -60 13.7 85 0.3 -93
2013 0.2 -97 8.5 0 3.5 -72 28.6 211 2.7 -84 315.6 85 436.8 24 321.1 -2 188.6 -4 138.0 162 0.0 -100 0.0 -100
2014 0.0 -100 53.2 526 18.2 48 16.4 78 15.6 -5 121.7 -29 454.2 29 254.3 -22 251.7 28 47.9 -9 0.0 -100 0.0 -100
2015 14.5 123 0.2 -98 19.6 59 33.6 265 16.8 2 209.8 23 198.7 -44 210.3 -36 213.6 9 1.9 -96 0.0 -100 2.4 -47
2016 2.4 -66 0.1 -99 13.8 1 8.3 -1 39.1 138 155.9 -9 339.8 -3 201.4 -38 363.0 83 74.6 54 0.0 -100 0.0 -100
