YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 1.0 11 0.0 -100 0.0 -100 0.4 0 0.0 -100 40.5 -44 65.4 -77 233.1 4 257.0 84 0.0 -100 0.0 -100 0.0 -100
2013 0.0 -100 5.7 850 1.0 43 0.9 125 0.0 -100 93.8 30 412.4 47 252.3 13 206.1 48 75.0 305 0.8 -88 0.0 -100
2014 0.8 -11 0.0 -100 0.0 -100 13.2 3200 0.0 -100 0.3 -99 313.8 12 101.4 -55 248.0 78 0.0 -100 0.0 -100 0.0 -100
2015 14.8 1544 0.0 -100 6.6 843 4.3 971 3.4 -50 99.1 37 472.8 68 24.3 -89 70.5 -49 0.0 -100 0.0 -100 0.0 -100
2016 0.0 -100 0.0 -100 1.6 129 0.0 -100 0.0 -100 12.4 -83 264.4 -6 256.5 15 55.1 -60 63.6 244 0.0 -100 0.0 -100
