YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 10.5 -50 0.0 -100 8.5 -35 0.8 -96 33.7 -50 5.5 -89 30.8 -58 139.7 8 125.9 -9 236.7 22 65.6 -68 11.3 -92
2013 0.0 -100 7.3 -35 6.5 -50 11.5 -47 11.5 -83 3.7 -93 7.7 -89 169.1 31 164.7 19 73.7 -62 159.3 -22 52.8 -64
2014 0.0 -100 1.0 -91 0.0 -100 0.0 -100 128.5 92 9.0 -83 80.5 11 93.3 -28 25.8 -81 182.6 -6 90.4 -56 88.0 -40
2016 0.0 -100 0.0 -100 0.0 -100 0.0 -100 89.4 34 28.2 -45 91.2 25 141.9 10 57.5 -59 61.9 -68 30.2 -85 36.4 -75
