YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 71.0 -79 139.0 -24 66.0 -69 149.0 40 90.0 -5 99.0 255 1.0 -89
2013 0.0 -100 3.0 -89 26.0 -40 112.0 16 298.0 113 119.0 -64 268.0 47 229.0 8 112.0 5 71.0 -25 0.0 -100 3.0 -68
2014 0.0 -100 14.0 -47 17.0 -61 29.0 -70 27.0 -81 43.0 -87 73.0 -23 0.0 -100 0.0 -100
2015 17.0 11 10.0 -62 8.0 -81 122.0 27 85.0 -39 169.0 -49 234.0 29 162.0 -24 119.0 11 62.0 -34 0.0 -100 0
2016 23.0 -47 211.0 119 282.0 101 83.0 -22 68.0 -28 66.0 137 0.0 -100
