YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2014 0.0 -100 8.0 -80
2015 3.0 -98 183.0 198.0 -37 122.0 -72 130.0 -70 0 0 0 0 0
2016 2.0 -98
