YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 3.0 -95 109.0 -32 65.0 -82 676.0 4 739.0 -30 108.0 -82 -100
2013 0.0 -100 20.0 -36 26.0 -58 59.0 -63 321.0 -9 102.0 -84 90.0 -91 110.0 -82 46.0 -90 0.0 -100 0.0 -100
2014 0.0 -100 29.0 -7 58.0 -5 36.0 -78 75.0 -61 0.0 -100 0.0 -100
2015 10.0 -49 23.0 -26 61.0 0 356.0 122 313.0 -11 530.0 -19 274.0 -74 1377.0 127 547.0 18 143.0 -26 0.0 -100 1.0 -95
2016 19.0 -4 2.0 -94 41.0 -33 80.0 -50 20.0 -94 503.0 -52 108.0 -77 213.0 11 6.0 -81
