YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 19.1 -43 5.5 -92 42.7 -60 240.8 6 291.7 -36 884.7 38 728.2 19 482.6 -4 487.8 -1 315.1 47 8.0 -58 38.3 239
2013 7.4 -78 13.2 -81 135.2 27 170.7 -25 417.1 -8 324.6 -49 578.0 -5 401.4 -20 358.4 -27 150.1 -30 0.9 -95 3.4 -70
2014 4.6 -86 68.0 0 27.0 -75 26.0 -89 790.2 74 881.4 38 822.5 35 708.6 41 478.7 -3 38.7 -82 30.6 59 13.5 19
2015 7.0 -79 22.0 -68 1.4 -99 311.2 37 538.3 19 1082.1 69 464.8 -24 562.1 12 371.7 -24 66.1 -69 7.8 -60 25.7 127
2016 41.4 24 31.1 -54 123.4 16 451.6 99 330.5 -27 626.2 -2 848.9 39 178.3 -65 714.6 45 186.5 -13 1.2 -94 6.8 -40
