YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 0.0 -100 -100 0.0 -100 -100 -100
2013 136.4 -68 164.8 -1 8.6 -75
2014 22.2 -47 92.8 15 92.0 -74 176.2 -73 434.4 2 428.7 37 6.4 -96
2015 51.2 21 91.4 13 323.6 -28 132.4 -80 275.6 -36 294.6 -6 36.4 -78 11.2 -67 33.6 13
2016 17.4 -59 189.6 -58 450.0 -32 121.0 -28 0.0 -100
