YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 0.0 -100 0.0 -100 124.6 186 42.6 -46 46.2 -60 83.6 -51 91.4 -18 67.5 -32 53.2 -55 108.4 147 0.0 -100
2013 16.3 5333 6.0 1100 3.6 -10 45.9 5 60.9 -22 125.4 9 214.2 26 91.3 -18 143.0 44 69.8 -41 1.7 -96 0.0 -100
2014 0.0 -100 2.1 320 6.8 70 69.0 58 126.1 61 77.9 -32 259.3 53 236.6 113 96.0 -4 144.7 22 45.8 4 13.1 87
2015 0.0 -100 0.0 -100 20.0 401 19.6 -55 109.2 39 172.3 50 64.8 -62 87.6 -21 73.0 -27 99.0 -17 19.8 -55 0.3 -96
2016 0.3 -5 0.4 -20 3.5 -14 9.4 -79 76.9 -2 163.7 43 126.2 -26 68.0 -39 46.5 -53 8.4 -93 15.5 -65 2.0 -72
