YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 28.8 454 3.5 -72 3.8 -77 69.2 30 28.1 -69 98.4 -51 381.2 -1 562.5 37 259.2 -3 28.1 -81 102.5 221 0.0 -100
2013 0.0 -100 13.9 13 0.9 -94 98.4 85 10.5 -88 478.4 138 349.1 -9 322.5 -21 151.1 -43 207.1 40 8.7 -73 0.0 -100
2014 0.0 -100 6.1 -50 43.4 166 9.9 -81 111.9 25 139.5 -31 592.3 54 427.7 4 256.7 -4 209.2 42 4.3 -87 4.6 21
2015 3.7 -30 0.8 -94 19.6 20 82.1 54 59.7 -33 323.7 61 104.7 -73 318.1 -23 568.2 113 36.3 -75 15.0 -53 4.2 9
2016 0.0 -100 0.0 -100 15.6 -4 24.0 -55 136.2 52 309.1 54 395.4 3 372.9 -9 324.1 21 109.4 -26 0.8 -98 4.5 18
