YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 1.0 -93 6.0 -10 7.0 3 2.0 -46 0.0 -100 33.0 -70 69.8 -76 53.8 -80 121.6 -39 5.0 -91
2013 83.6 -25 147.9 -48 175.2 -33 71.8 -64 149.2 178 0.0 -100 0.0 -100
2014 41.8 196 31.6 372 6.4 -6 0.0 -100 4.0 -77 15.1 -86 68.5 -76 23.0 -91 27.4 -86 8.2 -85 0.0 -100
2015 3.8 -73 0.0 -100 114.7 3 259.6 -10 331.2 26 91.2 -54 6.3 -88 0.0 -100 0.0 -100
2016 0.0 -100 0.0 -100 0.0 -100 0.0 -100 0.0 -100 117.8 6 342.2 19 128.8 -51 213.0 6 132.0 146 0.0 -100 0.0 -100
