YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 0.0 -100 0.0 -100 0.0 -100 0.0 -100 50.4 -87 551.5 -38 392.2 -40 552.5 41 58.2 51 0.0 -100
2013 335.7 -13 1280.1 45 577.9 -12 680.5 74 102.7 166 0.0 -100
2014 73.2 -81 1403.8 59 539.3 -18 394.1 1 1.6 -96
2016 170.9 -51 1126.4 35 1075.1 71 360.0 3 85.7 114
