YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 50.0 270 8.0 -30 0.0 -100 1.0 -63 0.0 -100 0.0 -100 353.4 49 242.1 -16 93.9 -44 0.0 -100 0.0 -100 0.0 -100
2013 0.8 -94 106.0 830 0.0 -100 0.0 -100 0.0 -100 205.9 191 183.6 -23 118.7 -59 15.1 -91 59.2 33 0.0 -100 1.2 -78
2014 59.5 341 19.8 74 9.9 80 0.8 -70 0.8 -87 12.2 -83 100.2 -58 53.8 -81 37.3 -78 4.5 -90 0.0 -100 10.6 93
2015 22.6 67 0.0 -100 53.8 878 12.8 374 4.6 -27 22.8 -68 86.1 -64 54.4 -81 0.7 -99 16.1 -64 0.0 -100 25.9 370
2016 5.0 -63 0.0 -100 3.0 -45 0.0 -100 9.4 49 30.1 -57 121.2 -49 121.8 -58 21.9 -87 24.5 -45 0.0 -100 0.0 -100
