YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 3.2 -68 0.0 -100 0.0 -100 6.4 73 12.0 88 147.4 7 282.4 11 243.5 0 316.1 109 25.0 -53 0.4 -97 0.1 -99
2013 16.1 59 4.3 -32 6.7 -14 2.0 -46 2.0 -69 286.6 109 307.3 21 258.1 6 131.5 -13 99.6 88 0.0 -100 0.0 -100
2014 0.9 -91 24.7 292 29.0 272 1.3 -65 0.1 -98 56.9 -59 378.1 49 135.8 -44 201.1 33 11.8 -78 11.5 -24 5.6 -33
2015 50.0 396 8.1 28 82.7 960 17.2 365 2.7 -58 221.5 61 125.2 -51 304.3 25 107.2 -29 1.6 -97 0.0 -100 0.0 -100
2016 0.2 -98 6.7 6 6.6 -16 0.0 -100 14.5 126 127.6 -7 478.4 88 133.6 -45 191.0 26 64.8 22 0.0 -100 0.0 -100
