YEAR JAN FEB MAR APR MAY JUN JUL AUG SEPT OCT NOV DEC
R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP R/F %DEP
2012 15.9 35 8.3 0 0.0 -100 0.6 -81 13.1 62 110.9 -21 647.2 55 677.5 46 242.3 -10 16.5 -56 0.0 -100 0.0 -100
2013 6.8 -42 60.4 628 26.9 196 4.2 31 0.0 -100 377.1 169 729.9 75 756.1 63 82.9 -69 58.5 56 0.0 -100 0.0 -100
2014 10.3 -13 63.3 662 5.9 -35 0.8 -75 2.9 -64 69.8 -50 486.7 17 199.2 -57 251.0 -6 25.5 -32 5.5 -63 22.9 125
2015 39.3 233 17.4 110 80.7 786 21.3 564 7.7 -6 155.4 11 453.1 9 481.4 4 60.5 -77 25.5 -32 0.0 -100 0.0 -100
2016 8.6 -27 0.0 -100 7.5 -18 0.0 -100 5.4 -34 144.8 3 1072.4 157 665.0 43 219.1 -18 48.7 30 0.0 -100 0.0 -100
