district,arrival_date,avg_price,rainfall,month,year
Bangalore,01/01/2015,2000,,
Bangalore,02/01/2015,2000,,
Bangalore,03/01/2015,2000,,
Bangalore,05/01/2015,2000,,
Bangalore,06/01/2015,2100,,
Bangalore,07/01/2015,2100,,
Bangalore,08/01/2015,2100,,
Bangalore,09/01/2015,2100,,
Bangalore,12/01/2015,2100,,
Bangalore,13/01/2015,2050,,
Bangalore,14/01/2015,2050,,
Bangalore,16/01/2015,2050,,
Bangalore,17/01/2015,2100,,
Bangalore,19/01/2015,2100,,
Bangalore,20/01/2015,2100,,
Bangalore,21/01/2015,2100,,
Bangalore,22/01/2015,2100,,
Bangalore,23/01/2015,2200,,
Bangalore,24/01/2015,2200,,
Bangalore,27/01/2015,2200,,
Bangalore,27/01/2015,2200,,
Bangalore,28/01/2015,2200,,
Bangalore,28/01/2015,2200,,
Bangalore,29/01/2015,2200,,
Bangalore,30/01/2015,2000,,
Bangalore,31/01/2015,2000,,
Bangalore,02/02/2015,2000,,
Bangalore,03/02/2015,2000,,
Bangalore,04/02/2015,2000,,
Bangalore,05/02/2015,2000,,
Bangalore,06/02/2015,1900,,
Bangalore,07/02/2015,1900,,
Bangalore,09/02/2015,1900,,
Bangalore,10/02/2015,1850,,
Bangalore,11/02/2015,1950,,
Bangalore,12/02/2015,1950,,
Bangalore,13/02/2015,1950,,
Bangalore,16/02/2015,1950,,
Bangalore,18/02/2015,1950,,
Bangalore,20/02/2015,1950,,
Bangalore,21/02/2015,2050,,
Bangalore,23/02/2015,2050,,
Bangalore,24/02/2015,2050,,
Bangalore,25/02/2015,2050,,
Bangalore,26/02/2015,2100,,
Bangalore,27/02/2015,2100,,
Bangalore,28/02/2015,2100,,
Bangalore,02/03/2015,2150,,
Bangalore,03/03/2015,2150,,
Bangalore,04/03/2015,2200,,
Bangalore,05/03/2015,2200,,
Bangalore,06/03/2015,2100,,
Bangalore,07/03/2015,2100,,
Bangalore,09/03/2015,2100,,
Bangalore,10/03/2015,2100,,
Bangalore,11/03/2015,2100,,
Bangalore,12/03/2015,2100,,
Bangalore,13/03/2015,2150,,
Bangalore,16/03/2015,2150,,
Bangalore,17/03/2015,2100,,
Bangalore,18/03/2015,2100,,
Bangalore,19/03/2015,2150,,
Bangalore,20/03/2015,2150,,
Bangalore,23/03/2015,2150,,
Bangalore,24/03/2015,2150,,
Bangalore,25/03/2015,2150,,
Bangalore,26/03/2015,2150,,
Bangalore,27/03/2015,2150,,
Bangalore,28/03/2015,2150,,
Bangalore,30/03/2015,2150,,
Bangalore,31/03/2015,2150,,
Bangalore,01/04/2015,2150,,
Bangalore,04/04/2015,2150,,
Bangalore,06/04/2015,2150,,
Bangalore,07/04/2015,2150,,
Bangalore,08/04/2015,2150,,
Bangalore,09/04/2015,2100,,
Bangalore,10/04/2015,2100,,
Bangalore,13/04/2015,2100,,
Bangalore,15/04/2015,2100,,
Bangalore,16/04/2015,2100,,
Bangalore,17/04/2015,2100,,
Bangalore,18/04/2015,2100,,
Bangalore,20/04/2015,2100,,
Bangalore,22/04/2015,2000,,
Bangalore,23/04/2015,2000,,
Bangalore,24/04/2015,2000,,
Bangalore,25/04/2015,2000,,
Bangalore,27/04/2015,2050,,
Bangalore,28/04/2015,2050,,
Bangalore,29/04/2015,2000,,
Bangalore,30/04/2015,2000,,
Bangalore,02/05/2015,2000,,
Bangalore,05/05/2015,2000,,
Bangalore,06/05/2015,2000,,
Bangalore,08/05/2015,2050,,
Bangalore,11/05/2015,2050,,
Bangalore,12/05/2015,2000,,
Bangalore,13/05/2015,2000,,
Bangalore,14/05/2015,2000,,
Bangalore,15/05/2015,2025,,
Bangalore,16/05/2015,2025,,
Bangalore,18/05/2015,2025,,
Bangalore,19/05/2015,2075,,
Bangalore,20/05/2015,2075,,
Bangalore,21/05/2015,2075,,
Bangalore,22/05/2015,2075,,
Bangalore,23/05/2015,2000,,
Bangalore,25/05/2015,2000,,
Bangalore,26/05/2015,2000,,
Bangalore,27/05/2015,2000,,
Bangalore,28/05/2015,2000,,
Bangalore,29/05/2015,2060,,
Bangalore,30/05/2015,2060,,
Bangalore,01/06/2015,2060,,
Bangalore,05/06/2015,2100,,
Bangalore,06/06/2015,2100,,
Bangalore,08/06/2015,2100,,
Bangalore,09/06/2015,2100,,
Bangalore,10/06/2015,2100,,
Bangalore,11/06/2015,2100,,
Bangalore,12/06/2015,2100,,
Bangalore,15/06/2015,2100,,
Bangalore,16/06/2015,2100,,
Bangalore,17/06/2015,2100,,
Bangalore,18/06/2015,2100,,
Bangalore,19/06/2015,2100,,
Bangalore,20/06/2015,2100,,
Bangalore,22/06/2015,2100,,
Bangalore,23/06/2015,2100,,
Bangalore,24/06/2015,2100,,
Bangalore,25/06/2015,2100,,
Bangalore,27/06/2015,2100,,
Bangalore,29/06/2015,2100,,
Bangalore,30/06/2015,2100,,
Bangalore,01/07/2015,2100,,
Bangalore,02/07/2015,2100,,
Bangalore,03/07/2015,2100,,
Bangalore,04/07/2015,2100,,
Bangalore,06/07/2015,2100,,
Bangalore,07/07/2015,2100,,
Bangalore,08/07/2015,2100,,
Bangalore,09/07/2015,2100,,
Bangalore,10/07/2015,2100,,
Bangalore,14/07/2015,2100,,
Bangalore,15/07/2015,2100,,
Bangalore,16/07/2015,2100,,
Bangalore,17/07/2015,2100,,
Bangalore,21/07/2015,2100,,
Bangalore,24/07/2015,2100,,
Bangalore,25/07/2015,2100,,
Bangalore,27/07/2015,2100,,
Bangalore,28/07/2015,2100,,
Bangalore,29/07/2015,2100,,
