district,avg_price,rainfall,month,year
1,2050,4.0,12,2
1,2050,4.0,12,2
1,2050,4.0,12,2
1,2050,4.0,12,2
1,2050,4.0,12,2
1,2050,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,2000,4.0,12,2
1,1600,4.0,12,2
1,1400,7.7,1,2
1,1450,7.7,1,2
1,1400,7.7,1,2
1,1400,7.7,1,2
1,1500,7.7,1,2
1,1400,0.0,2,2
1,1500,0.0,2,2
1,1600,0.0,2,2
1,1500,21.8,3,2
1,1500,21.8,3,2
1,1500,21.8,3,2
1,1400,131.4,4,2
1,1500,131.4,4,2
1,1500,124.4,5,2
1,1400,124.4,5,2
1,1400,124.4,5,2
1,1400,80.4,6,2
1,1400,71.7,7,2
1,1400,71.7,7,2
1,1400,102.0,8,2
1,1400,102.0,8,2
1,1400,102.0,8,2
1,1400,190.7,9,2
1,1300,190.7,9,2
1,1400,190.7,9,2
1,1350,109.4,10,2
1,1350,109.4,10,2
1,1350,231.2,11,2
1,1400,4.0,12,2
1,1350,4.0,12,2
1,1350,4.0,12,2
1,1350,4.0,12,2
1,1350,4.0,12,2
1,1400,4.0,12,2
1,1350,4.0,12,2
1,2000,4.0,12,2
1,1600,21.8,3,2
1,1250,21.8,3,2
1,1800,71.7,7,2
1,1800,7.7,1,2
1,1500,7.7,1,2
1,1850,7.7,1,2
1,1820,7.7,1,2
1,1800,7.7,1,2
1,1830,7.7,1,2
1,1700,7.7,1,2
1,1600,0.0,2,2
1,1900,0.0,2,2
1,1800,21.8,3,2
1,1800,21.8,3,2
1,1760,21.8,3,2
1,1800,21.8,3,2
1,1700,21.8,3,2
1,1800,131.4,4,2
1,1900,131.4,4,2
1,1900,131.4,4,2
1,1800,124.4,5,2
1,1800,124.4,5,2
1,1800,124.4,5,2
1,1800,80.4,6,2
1,1800,80.4,6,2
1,1800,80.4,6,2
1,1800,80.4,6,2
1,1600,80.4,6,2
1,1750,71.7,7,2
1,1700,71.7,7,2
1,1700,71.7,7,2
1,1600,102.0,8,2
1,1700,102.0,8,2
1,1650,102.0,8,2
1,1500,102.0,8,2
1,1700,190.7,9,2
1,1600,190.7,9,2
1,1600,190.7,9,2
1,1600,190.7,9,2
1,1500,109.4,10,2
1,1600,109.4,10,2
1,1600,109.4,10,2
1,1600,109.4,10,2
1,1600,109.4,10,2
1,1700,231.2,11,2
3,703,0.3,12,2
3,1601,0.0,2,2
3,1300,0.3,12,2
3,1300,51.2,5,2
3,1200,179.8,9,2
3,1200,0.0,2,2
3,1200,0.0,2,2
3,1100,0.0,2,2
3,1400,16.7,3,2
3,1800,91.0,10,2
3,1125,89.3,8,2
3,1131,0.7,1,2
3,1215,0.7,1,2
3,1192,0.7,1,2
3,1075,0.7,1,2
3,1089,0.7,1,2
3,1089,0.7,1,2
3,1246,0.7,1,2
3,1150,0.7,1,2
3,1119,0.7,1,2
3,1204,0.0,2,2
3,1220,0.0,2,2
3,1223,0.0,2,2
