district,avg_price,rainfall,month,year
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,2000,4.9,1,3
1,1950,4.9,1,3
1,1950,0.0,2,3
1,1950,0.0,2,3
1,1950,0.0,2,3
1,1950,0.0,2,3
1,1975,0.0,2,3
1,1975,0.0,2,3
1,1975,0.0,2,3
1,1975,0.0,2,3
1,1975,0.0,2,3
1,1975,0.0,2,3
1,1975,0.0,2,3
1,1950,0.0,2,3
1,1950,0.0,2,3
1,1950,0.0,2,3
1,1950,0.0,2,3
1,1950,0.0,2,3
1,1950,0.0,2,3
1,1950,18.2,3,3
1,1950,18.2,3,3
1,1950,18.2,3,3
1,1950,18.2,3,3
1,1950,18.2,3,3
1,2000,18.2,3,3
1,2000,18.2,3,3
1,2025,18.2,3,3
1,2025,18.2,3,3
1,2025,18.2,3,3
1,2025,18.2,3,3
1,2025,18.2,3,3
1,2025,18.2,3,3
1,2025,18.2,3,3
1,2025,18.2,3,3
1,2000,18.2,3,3
1,2000,18.2,3,3
1,2000,18.2,3,3
1,2000,18.2,3,3
1,2000,18.2,3,3
1,2000,18.2,3,3
1,2000,18.2,3,3
1,2000,18.2,3,3
1,2000,18.2,3,3
1,2000,6.2,4,3
1,2000,6.2,4,3
1,2000,6.2,4,3
1,2000,6.2,4,3
1,2000,6.2,4,3
1,2000,6.2,4,3
1,2000,6.2,4,3
1,2000,6.2,4,3
1,2000,6.2,4,3
1,2000,6.2,4,3
1,2000,6.2,4,3
1,2150,6.2,4,3
1,2150,6.2,4,3
1,2150,6.2,4,3
1,2150,6.2,4,3
1,2150,6.2,4,3
1,2150,6.2,4,3
1,2150,6.2,4,3
1,2150,6.2,4,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2150,132.3,5,3
1,2125,132.3,5,3
1,2125,132.3,5,3
1,2125,132.3,5,3
1,2125,132.3,5,3
1,2125,132.3,5,3
1,2150,132.3,5,3
1,2125,132.3,5,3
1,2125,164.0,6,3
1,2150,164.0,6,3
1,2150,164.0,6,3
1,2150,164.0,6,3
1,2150,164.0,6,3
1,2150,164.0,6,3
1,2150,164.0,6,3
1,2150,164.0,6,3
1,2150,164.0,6,3
1,2150,164.0,6,3
1,2150,164.0,6,3
1,2150,164.0,6,3
1,2150,164.0,6,3
1,2100,164.0,6,3
1,2100,164.0,6,3
1,2100,164.0,6,3
1,2100,164.0,6,3
1,2050,164.0,6,3
1,2050,164.0,6,3
1,2050,164.0,6,3
1,2000,164.0,6,3
1,2000,164.0,6,3
1,2000,164.0,6,3
1,2000,164.0,6,3
1,2000,187.9,7,3
1,2000,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2050,187.9,7,3
1,2075,187.9,7,3
1,2075,187.9,7,3
1,2075,187.9,7,3
1,2075,187.9,7,3
1,2075,187.9,7,3
1,2100,187.9,7,3
1,2100,45.1,8,3
1,2100,45.1,8,3
1,2100,45.1,8,3
1,2100,45.1,8,3
1,2100,45.1,8,3
1,2100,45.1,8,3
1,2100,45.1,8,3
1,2100,45.1,8,3
1,2100,45.1,8,3
1,2100,45.1,8,3
1,2100,45.1,8,3
1,2100,45.1,8,3
1,2100,45.1,8,3
