YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.0,0.3,1.2,149.6,51.5,39.6,81.0,167.6,81.7,33.9,48.4,3.6
2013,0.4,15.1,30.1,37.3,99.2,155.8,242.9,122.5,171.9,82.3,28.1,10.2
2014,0.0,0.3,14.2,78.1,148.5,70.4,220.5,160.9,195.0,137.2,9.4,15.4
2015,0.9,0.0,30.4,101.9,133.0,231.3,37.6,122.8,122.1,74.4,137.3,6.0
2016,1.1,1.7,0.5,32.1,84.0,147.6,143.3,62.6,45.4,13.6,17.5,30.9
