YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.0,0.0,3.1,117.5,37.7,17.2,40.6,146.3,72.1,38.0,85.7,1.7
2013,0.0,5.8,3.0,22.5,84.9,59.8,41.8,58.9,253.5,95.4,28.3,0.3
2014,0.0,3.9,26.6,24.0,98.4,66.6,48.0,123.3,113.4,172.1,18.7,8.8
2015,0.6,0.0,11.4,88.0,80.5,75.5,34.4,112.6,218.2,136.9,178.2,3.0
2016,6.1,0.0,2.0,1.7,82.9,123.5,158.8,24.8,41.5,14.0,2.6,34.8
