YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.0,0.0,0.0,54.3,46.0,28.9,41.5,78.3,50.5,41.7,150.1,0.0
2013,0.0,0.0,10.5,47.1,58.1,79.9,52.8,43.1,169.8,80.9,0.3,0.0
2014,0.0,19.9,12.1,24.4,115.0,61.3,125.9,188.4,68.4,99.0,29.0,30.8
2015,0.2,0.0,43.8,19.2,46.2,88.6,10.0,88.5,100.8,84.1,7.5,1.8
2016,0.4,0.0,1.3,21.7,73.4,99.5,71.6,44.0,77.0,3.2,0.0,4.1
