YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.0,0.0,0.3,92.9,38.3,21.9,51.1,103.0,75.5,38.3,122.9,0.5
2013,0.0,4.4,1.9,11.3,77.9,94.9,85.0,70.3,127.9,122.3,8.3,0.0
2014,0.0,6.0,27.5,23.9,117.2,86.8,100.2,179.6,91.7,102.5,14.8,45.3
2015,0.7,0.0,16.7,65.8,51.2,69.9,28.3,89.3,179.8,91.0,4.9,0.3
2016,9.4,0.0,0.0,4.2,67.9,128.5,68.4,24.7,47.9,11.4,4.2,4.6
