YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.0,0.0,4.7,65.4,81.3,35.2,129.7,103.8,50.0,120.8,101.3,25.6
2013,0.0,16.5,4.9,36.8,76.5,55.6,56.3,59.6,181.6,151.7,20.9,3.4
2014,0.0,0.0,13.6,3.5,85.9,71.7,58.3,45.5,74.9,125.5,30.6,8.5
2015,5.6,0.0,48.1,81.3,107.1,69.6,51.0,103.2,135.8,101.2,374.9,6.0
2016,9.1,0.0,3.7,0.0,150.1,120.8,183.1,28.4,25.0,14.4,2.7,95.3
