YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.2,0.0,0.1,107.1,45.5,13.6,25.5,41.9,84.3,132.1,54.7,9.0
2013,0.0,15.6,10.8,58.2,91.7,50.0,32.8,34.4,173.4,95.5,43.8,3.1
2014,0.0,0.2,18.1,39.4,139.2,57.3,52.0,84.4,183.1,184.9,6.4,22.0
2015,0.0,0.0,13.6,47.0,172.3,72.2,14.5,116.9,119.1,97.9,192.7,4.9
2016,2.4,0.1,2.0,13.5,58.6,71.6,142.2,51.2,50.6,33.2,3.9,44.3
