YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.0,0.0,0.0,45.8,22.6,50.8,79.1,81.7,72.1,65.3,49.1,7.6
2013,0.4,4.9,11.7,8.5,105.5,86.2,159.6,77.7,160.8,69.2,1.8,0.0
2014,0.0,5.9,10.3,40.9,166.1,42.5,174.6,188.2,113.2,107.3,39.2,21.4
2015,0.1,0.0,65.5,30.6,76.9,161.3,49.3,45.8,65.6,93.3,11.0,0.8
2016,0.3,0.1,3.2,20.8,51.5,121.1,119.3,78.1,45.5,27.2,3.5,0.3
