YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
2012,0.0,0.3,0.7,170.9,39.8,196.4,314.1,539.7,187.0,57.6,101.7,1.0
2013,1.5,23.2,18.8,19.1,140.2,389.4,915.4,367.8,232.5,72.6,16.3,4.3
2014,0.8,1.5,8.9,79.8,177.3,175.4,751.2,517.2,230.4,149.4,23.2,16.0
2015,0.0,0.4,36.9,95.1,143.2,479.6,291.1,224.7,164.9,139.1,111.4,5.6
2016,0.7,1.3,6.5,15.6,94.1,313.9,402.6,243.5,106.3,23.5,13.4,20.1
