district,arrival date,Avg price,rainfall,soil_ph,month,year
Bangalore,09/07/2014,2200,,
Bangalore,10/07/2014,2200,,
Bangalore,11/07/2014,2100,,
Bangalore,14/07/2014,2100,,
Bangalore,15/07/2014,2100,,
Bangalore,16/07/2014,2000,,
Bangalore,17/07/2014,2000,,
Bangalore,18/07/2014,2000,,
Bangalore,19/07/2014,2050,,
Bangalore,21/07/2014,2050,,
Bangalore,22/07/2014,2050,,
Bangalore,23/07/2014,2050,,
Bangalore,24/07/2014,2050,,
Bangalore,25/07/2014,2050,,
Bangalore,26/07/2014,2150,,
Bangalore,28/07/2014,2150,,
Bangalore,30/07/2014,2150,,
Bangalore,31/07/2014,2150,,
Bangalore,01/08/2014,2150,,
Bangalore,02/08/2014,2150,,
Bangalore,04/08/2014,2150,,
Bangalore,05/08/2014,2150,,
Bangalore,06/08/2014,2150,,
Bangalore,07/08/2014,2200,,
Bangalore,08/08/2014,2200,,
Bangalore,12/08/2014,2200,,
Bangalore,13/08/2014,2250,,
Bangalore,14/08/2014,2250,,
Bangalore,16/08/2014,2250,,
Bangalore,19/08/2014,2250,,
Bangalore,20/08/2014,2250,,
Bangalore,21/08/2014,2250,,
Bangalore,22/08/2014,2250,,
Bangalore,25/08/2014,2250,,
Bangalore,26/08/2014,2250,,
Bangalore,28/08/2014,2200,,
Bangalore,30/08/2014,2200,,
Bangalore,01/09/2014,2200,,
Bangalore,02/09/2014,2200,,
Bangalore,03/09/2014,2150,,
Bangalore,04/09/2014,2150,,
Bangalore,05/09/2014,2150,,
Bangalore,06/09/2014,2150,,
Bangalore,09/09/2014,2150,,
Bangalore,10/09/2014,2250,,
Bangalore,11/09/2014,2250,,
Bangalore,12/09/2014,2250,,
Bangalore,15/09/2014,2250,,
Bangalore,16/09/2014,2250,,
Bangalore,17/09/2014,2250,,
Bangalore,18/09/2014,2250,,
Bangalore,19/09/2014,2250,,
Bangalore,20/09/2014,2250,,
Bangalore,22/09/2014,2250,,
Bangalore,23/09/2014,2250,,
Bangalore,25/09/2014,2250,,
Bangalore,26/09/2014,2250,,
Bangalore,27/09/2014,2250,,
Bangalore,29/09/2014,2250,,
Bangalore,30/09/2014,2250,,
Bangalore,07/10/2014,2250,,
Bangalore,09/10/2014,2250,,
Bangalore,10/10/2014,2250,,
Bangalore,13/10/2014,2250,,
Bangalore,14/10/2014,2350,,
Bangalore,15/10/2014,2350,,
Bangalore,16/10/2014,2250,,
Bangalore,17/10/2014,2250,,
Bangalore,18/10/2014,2250,,
Bangalore,20/10/2014,2250,,
Bangalore,21/10/2014,2250,,
Bangalore,23/10/2014,2250,,
Bangalore,25/10/2014,2250,,
Bangalore,27/10/2014,2250,,
Bangalore,28/10/2014,2250,,
Bangalore,29/10/2014,2250,,
Bangalore,30/10/2014,2250,,
Bangalore,31/10/2014,2250,,
Bangalore,03/11/2014,2650,,
Bangalore,05/11/2014,2250,,
Bangalore,06/11/2014,2250,,
Bangalore,07/11/2014,2200,,
Bangalore,10/11/2014,2200,,
Bangalore,11/11/2014,2200,,
Bangalore,12/11/2014,2200,,
Bangalore,13/11/2014,2200,,
Bangalore,14/11/2014,2200,,
Bangalore,15/11/2014,2200,,
Bangalore,17/11/2014,2200,,
Bangalore,18/11/2014,2250,,
Bangalore,19/11/2014,2250,,
Bangalore,20/11/2014,2250,,
Bangalore,01/02/2014,1650,,
Bangalore,08/05/2014,1900,,
Bangalore,09/05/2014,1600,,
Bangalore,23/05/2014,1700,,
Bangalore,24/05/2014,1700,,
Bangalore,02/06/2014,1450,,
Bangalore,03/06/2014,1450,,
Bangalore,04/06/2014,1450,,
Bangalore,05/06/2014,1450,,
Bangalore,06/06/2014,1450,,
Bangalore,09/06/2014,1450,,
Bangalore,10/06/2014,1450,,
Bangalore,11/06/2014,1600,,
Bangalore,21/06/2014,1850,,
Bangalore,19/02/2014,1500,,
Bangalore,12/03/2014,1500,,
Bangalore,28/05/2014,1500,,
Bangalore,04/06/2014,1500,,
Bangalore,25/06/2014,1500,,
Bangalore,02/07/2014,1600,,
Bangalore,23/07/2014,1500,,
Bangalore,01/08/2014,1500,,
Bangalore,25/09/2014,1550,,
Bangalore,09/10/2014,1550,,
Bangalore,16/10/2014,1600,,
Bangalore,23/10/2014,1500,,
Bangalore,18/01/2014,1700,,
Bangalore,27/01/2014,1890,,
Bangalore,10/02/2014,1666,,
Bangalore,18/02/2014,1000,,
Bangalore,19/02/2014,1600,,
Bangalore,27/03/2014,1800,,
Bangalore,26/04/2014,1568,,
Bangalore,16/05/2014,1600,,
Bangalore,19/05/2014,1600,,
Bangalore,01/07/2014,1600,,
Bangalore,14/07/2014,1500,,
Bangalore,17/07/2014,1800,,
Bangalore,04/09/2014,1800,,
Bangalore,25/09/2014,1780,,
Bangalore,27/09/2014,1900,,
Bangalore,16/10/2014,1800,,
Bangalore,06/11/2014,1700,,
Bangalore,20/11/2014,1830,,
Belgaum,21/04/2014,2180,,
Bellary,22/02/2014,1553,,
Bellary,12/09/2014,1630,,
Bellary,05/02/2014,1200,,
Bellary,18/01/2014,1075,,
Bellary,22/01/2014,1219,,
Bellary,25/01/2014,1209,,
Bellary,15/02/2014,1202,,
Bellary,01/09/2014,1722,,
Chamrajnagar,28/02/2014,1189,,
Chamrajnagar,15/03/2014,1600,,
Chamrajnagar,29/04/2014,1800,,
Chamrajnagar,10/05/2014,1500,,
Chamrajnagar,11/07/2014,1500,,
Chamrajnagar,15/07/2014,1500,,
Chamrajnagar,30/07/2014,1300,,
Chamrajnagar,06/08/2014,1300,,
Chamrajnagar,20/08/2014,1300,,
Chamrajnagar,03/09/2014,1500,,
Chamrajnagar,05/09/2014,1500,,
Chamrajnagar,03/11/2014,1300,,
Chamrajnagar,13/01/2014,1600,,
Chamrajnagar,22/01/2014,1500,,
Chamrajnagar,17/03/2014,1400,,
Chamrajnagar,05/06/2014,2058,,
Chamrajnagar,21/07/2014,1600,,
Chamrajnagar,12/08/2014,1833,,
Chamrajnagar,22/08/2014,2000,,
Chamrajnagar,22/09/2014,1950,,
Chamrajnagar,23/09/2014,1975,,
Chamrajnagar,17/10/2014,1200,,
Chamrajnagar,06/11/2014,1350,,
Chamrajnagar,10/11/2014,1250,,
Chamrajnagar,11/11/2014,1200,,
