,0
0,3051.904177770019
1,2930.2404077574615
2,2968.763060677797
3,2773.3917027637367
4,2879.949780285359
5,3032.583046831191
6,3064.6572402305906
7,3025.5314059704547
8,3012.0103625878696
9,3099.9256912693386
10,3122.49016982317
11,3155.646006431431
12,3076.998627863825
13,3141.1111315712337
14,3074.9463252797727
15,2898.076352901757
16,3243.296276979149
17,3175.2155859917407
18,3051.7914606332783
19,3043.028538756073
20,3068.6662940792744
21,3037.0589358955626
22,3015.7631444558506
23,2913.9790771678095
24,2822.1924573481087
25,2909.938918873668
26,2958.159522645176
27,3071.2372923940425
28,3159.0473597422247
29,3072.94977362454
30,2899.1780034080152
31,2955.6443506330256
32,2983.4792551025753
33,2987.7732159458105
34,2983.1556871384387
35,2989.908613238484
36,2994.55181491375
37,2996.0181251056497
38,2997.1736276671295
39,2997.738504584879
40,2884.517407856882
41,2939.8164036944513
42,2974.4081840179865
43,3150.1463700756435
44,3085.3715970590715
45,3029.014699697495
46,3319.5159620977943
47,3179.697459414602
48,2954.992810092867
49,3129.0703737027948
50,3074.404766529799
51,3027.378174476326
52,3018.9701140969996
53,3008.963505968452
54,3004.779755748809
55,1897.877732418478
56,2420.5840018391614
57,2756.643764816225
58,2859.1346317306165
59,3095.7413436435168
60,3068.9273517057304
61,3316.187502548099
62,3184.094643026591
63,3066.940522283316
64,3050.126983992756
65,3025.0076206773524
66,3014.8866244032984
67,3222.232043243945
68,3240.9959590261187
69,3180.418777455887
70,3092.127789318562
71,3240.7198263779287
72,3126.034683912993
73,3053.0593005567794
74,3035.129680320621
75,3017.8904905244713
76,3009.9746181815867
77,3004.697724409402
78,3001.932660631836
79,3000.3216562718158
80,2999.4639730453496
81,2998.9960905909543
82,2998.7527309507136
83,2998.626797653735
84,2998.563603140414
85,2970.508556199571
86,3174.0302689597015
87,3056.752382226289
88,3013.7035501971845
89,3201.6816664300864
90,3106.917584083975
91,3041.846224099398
92,3028.762073554099
93,3014.3626872003083
94,3008.0442992374306
95,3003.663369983435
96,2955.07231540978
97,2976.0606597773735
98,2989.591653257609
99,3061.989930223674
100,3063.939105406404
101,3026.992627181113
102,3014.1121877953415
103,3031.863237716258
104,2765.87495110184
105,2801.2284822501247
106,2880.370494961739
107,2786.8542147725825
108,2740.526279084385
109,2829.9679716154938
110,2912.627116248012
111,2892.3254047185187
112,2867.0710885897283
113,2809.0260171294217
114,2764.069817749163
115,2669.5208257809286
116,2728.5549439862375
117,2762.898275688291
118,2145.695394389332
119,2391.41969787702
120,2437.2304268032317
121,2429.464580588043
122,2417.3657937720423
123,2509.919588219375
124,2587.3246637098496
125,2627.5543230921035
126,2636.4118754863744
127,2664.3422550782566
128,2771.853438995779
129,2879.4724794179206
130,2816.5016450807457
131,2850.443411804736
132,2854.7765656411652
133,2664.0123897805815
134,2619.631743550301
135,2547.4483896664215
136,2596.4234774224465
137,2563.437295797874
138,2588.7758907054867
139,2692.272125486285
140,2666.7794121652846
141,2609.8809360606333
142,2625.5894809365277
143,2655.013995882124
144,2689.439939445506
145,2708.824600496463
146,2744.2839786112313
147,2758.6142270378773
148,2714.549346596003
149,2668.728344569604
150,2765.02079820633
151,2693.893398198817
152,2647.3180039525037
153,2642.0580000221735
154,2633.853869751096
155,2614.673174577455
156,2616.634119700641
157,2587.7783507034187
158,2520.3365166219223
159,2576.0723718553786
160,2603.0853147618477
161,2609.708206094802
162,2600.984011895955
163,2634.8210370428865
164,2620.8090212419634
165,2594.2960063889627
166,2579.345328468085
167,2609.0381030179565
168,2576.6849957679715
169,2628.8014253601436
170,2671.6549121849243
171,2647.62859787792
172,2606.6235194355254
173,2652.0023205615585
174,2660.3744829110806
175,2676.0112131088977
176,2650.821553856135
177,2636.063660167158
178,2625.3718435615306
179,2537.2489171574516
180,2673.8111648137374
181,2640.538488902152
182,2649.1779253097875
183,2661.987601850927
184,2647.12056283856
185,2659.936277907342
186,2664.6603004112844
187,2649.539877417187
188,2630.446545273066
189,2609.171831451357
190,2583.001698099077
191,2552.760253178577
192,2607.897880557925
193,2584.6297372505073
194,2636.0881081648176
195,2574.32153253009
196,2572.221789410959
197,2613.1296230033045
198,2630.058354019587
199,2610.4342541268898
200,2612.022714046141
201,2578.8556994423275
202,2667.9761291183536
203,2723.5345881097023
204,2649.900954795381
205,2618.3266134187584
206,2605.8693104907875
207,2618.049759211817
208,2626.9395281722154
209,2694.68841951713
210,2672.553649373353
211,2609.6469952836637
212,2624.725244700909
213,2591.8817434534435
214,2596.8913272795357
215,2579.604056850076
216,2581.691180840135
217,2478.4239984378223
218,2531.2459947330262
219,2593.763888455928
220,2579.1815612167125
221,2580.1553718745713
222,2670.315009705723
223,2722.5316030755644
224,2671.0268886312847
225,2658.436509047946
226,2634.4790217578416
227,2652.062911316221
228,2640.398447872273
229,2548.8352019737167
230,2474.822670631111
231,2531.9078800529246
232,2556.2220691194143
233,2569.410336090873
234,2598.921033276618
235,2572.056383751333
236,2589.5572638332847
237,2600.4258609845174
238,2616.1599575877194
239,2649.2845929265027
240,2602.298419338962
241,2656.3580206458773
242,2668.942352443934
243,2640.0865872129802
244,2840.5025859499974
245,2807.8982894271617
246,2729.2082291767006
247,2757.8527787253265
248,2721.4073526188736
249,2663.817613451183
250,2686.472575385656
251,2619.7220313857715
252,2573.782835145295
253,2652.9723884463315
254,2721.0728381693366
255,2726.263591187696
256,2686.42718316863
257,2727.7039068900053
258,2659.8094058364636
259,2675.5933317989115
260,2647.240380097926
261,2621.152147725225
262,2655.1592055708174
263,2531.2071762705846
264,2641.1989731974904
265,2678.9401022121315
266,2715.951626285911
267,2700.9865194112067
268,2688.01061573873
269,2699.9461995400493
270,2706.097819546859
271,2738.0092458128934
272,2755.6407428942625
273,2762.8445376381283
274,2771.696567283323
275,2744.5151085729403
276,2746.689684532583
277,2742.8623521968725
278,2727.9465832263236
279,2628.5969098433857
280,2594.6611275747423
281,2613.3337953299288
282,2644.1273494412508
283,2668.3976015821104
284,2714.702281415463
285,2743.101265251637
286,2738.9474794268613
287,2754.6603924334054
288,2764.449237737805
289,2768.0892265141015
290,2770.622323893011
291,2771.8955566175287
292,2772.6513083092873
293,2730.9621731117372
294,2751.3457186818127
295,2828.4426141083245
296,2780.5973375017447
297,2755.0919863233967
298,2560.4034415930514
299,2615.3744238317017
300,2681.853950771193
301,2708.4554279446606
302,2658.5527164911236
303,2679.1025185324256
304,2416.6597175821666
305,2483.0850487500434
306,2623.028266931574
307,2614.6934127310915
308,2489.526085697115
309,2448.1263307705526
310,2428.3466000109916
311,2393.2018830999737
312,2497.464056000114
313,2538.5122878253464
314,2539.4072080478077
315,2468.067693650723
316,2433.440290458501
317,2497.29311208427
318,2586.7380407899623
319,2640.03778956458
320,2584.031778261066
321,2583.602780681104
322,2671.015040889383
323,2691.189995884896
324,2722.7866344911363
325,2566.4053592979913
326,2637.521546505392
327,2712.0901718698447
328,2761.768384959549
329,2821.5922175670667
330,2797.017274536193
331,2836.1584706231956
332,2704.3686881735925
333,2749.0859652956333
334,2604.4589417204265
335,2729.991916108877
336,2695.9947882518177
337,2656.314406462014
338,2673.7086897020545
339,2655.1390796601777
340,2710.36574780196
341,2703.115157619119
342,2697.0640575985117
343,2734.9021569229667
344,2754.021383490414
345,2703.2191021293406
346,2736.1359690316026
347,2677.254666845004
348,2655.296283602715
349,2666.266680054367
350,2651.58271727711
351,2643.564305759967
352,2699.561897654087
353,2787.6131594665353
354,2821.032455110302
355,2793.9137555286293
356,2783.3594464237494
357,2833.2627643421297
358,2860.258974321187
359,2864.499292045832
360,2745.659751236439
361,2692.489163771272
362,2695.2766985744242
363,2702.172778478265
