,0
0,6772.563912098606
1,6779.39591370523
2,6505.1235270996885
3,6453.844064846634
4,6581.025738393267
5,6911.918824507544
6,6946.779615059495
7,7316.8986191352205
8,6206.973217179378
9,5902.294648935397
10,6127.207044977694
11,6097.135213265816
12,5553.106374883403
13,6122.614458327492
14,6567.540648033221
15,5761.019942412773
16,5975.911216189464
17,6829.803221796949
18,7075.655970101555
19,6990.218659831831
20,6919.443620648235
21,7653.09539064765
22,6131.344587604204
23,5851.305216675003
24,6339.1528478513155
25,6754.584650198618
26,6762.352381491412
27,6751.429756761839
28,6912.6572110193465
29,6288.600985954205
30,6666.30137724181
31,7242.065365860859
32,7396.272838531682
33,7533.178046687195
34,7637.116432158897
35,7945.9136486798525
36,6657.77317409714
37,6677.849981437126
38,8009.130164608359
39,8014.602374142656
40,7951.085074308017
41,8286.466410631934
42,8872.698600714404
43,7574.694075807929
44,6881.363374119003
45,6941.245799263318
46,7048.3170198897515
47,6514.281681707749
48,6848.506334392974
49,6895.78171664228
50,6661.665706336498
51,6211.816416184107
52,7228.40552975734
53,7402.396569804599
54,7236.724650952965
55,6888.017048190037
56,6542.644883195559
57,6669.187853485346
58,6885.8313251286745
59,7247.656396403909
60,7610.786638160547
61,7673.081428402414
62,7689.975965737054
63,7722.743033741911
64,7672.66312216719
65,7454.929122980684
66,7759.7960488249855
67,7442.3683744855225
68,7611.927071865648
69,7726.153301789114
70,10150.44695623219
71,6677.585235486427
72,5875.043715412417
73,6272.174452338368
74,6959.6209317445755
75,7256.132711594303
76,8243.434836839635
77,10173.196894923845
78,9798.55755654474
79,10488.737452030182
80,8586.545727277795
81,7664.152706414461
82,7467.507220587382
83,7501.6318224991355
84,7539.082523435354
85,6613.350967162599
86,7228.7335851540165
87,7514.9810259230435
88,7492.042271823932
89,7224.455247322718
90,6363.615753967315
91,6480.778638273478
92,6270.113456621766
93,7047.658618787924
94,7992.8412438680725
95,7776.189445952575
96,7723.23068799451
97,7063.668796171744
98,6459.651961922646
99,6411.194590156277
100,7133.041916042566
101,7076.21515005206
102,6939.497677547236
103,6949.627768931289
104,6900.158292303482
105,6520.379691074291
106,6239.740816503763
107,7022.608642404278
108,7320.362047851086
109,6815.884699175755
110,10188.509154940644
111,10684.18469329675
112,8334.012180318436
113,7797.011838605006
114,7813.556908567746
115,8165.360701829195
116,7900.035330156485
117,7693.253233780463
118,7433.74875842904
119,7449.974996596575
120,7412.988358239332
121,7308.933538446823
122,7226.575587503612
123,7209.461436358591
124,7158.962198905647
125,7168.117211510737
126,6531.97692281877
127,6836.201891986032
128,6842.935481636474
129,6874.523992973069
130,6923.11411636571
131,6830.143798142672
132,6439.996334413687
133,6869.062475363413
134,7136.664343594262
135,7027.904315448055
136,6990.790724071363
137,7002.102298724154
138,6987.442190572619
139,6800.223105897506
140,6300.807896008094
141,7141.4935144285355
142,7232.801329437643
143,7202.056355557093
144,7122.560561231026
145,7073.022527061403
146,7060.124810785055
147,6170.767401407163
148,6228.731198764095
149,6992.885792876283
150,7533.586261669794
151,7104.489680752158
152,6968.085490291317
153,6406.958458324273
154,5560.994086911281
155,5670.0385301994775
156,5884.698865221192
157,6027.067161879191
158,6350.2915640672045
159,6388.885675296187
160,6245.058535039425
161,6132.750130041191
162,5949.089804043372
