,0
0,12862.604251566032
1,13210.12992784381
2,12373.17781150341
3,12907.18703866005
4,12574.85260721296
5,12514.395317994058
6,13347.992971539497
7,13294.067572802305
8,13347.011882811785
9,13388.372048735619
10,13548.62118139863
11,13611.573446542025
12,13530.779833905399
13,13508.230446837842
14,13492.30611603707
15,13603.071235120296
16,13644.39832046628
17,13666.262459009886
18,13682.859088294208
19,13583.274655044079
20,13779.93531152606
21,13721.072277985513
22,13837.266616523266
23,13886.581879109144
24,13832.68114210417
25,13367.5008614858
26,13468.683329721292
27,13894.738923758268
28,13742.012032618126
29,13760.148715538284
30,13610.6028072536
31,13559.988587163389
32,13600.791685841978
33,13533.673285506666
34,13508.970289491117
35,13496.42243143171
36,13487.427457235754
37,13481.746762059629
38,13478.154613636434
39,13475.891909562051
40,13474.43427797407
41,13473.451434634626
42,13472.742698155344
43,13472.191504202783
44,13471.732324920595
45,13548.41127768159
46,13498.398288153112
47,13486.83603014797
48,13481.829985044897
49,13477.357252500951
50,13474.292567931116
51,13472.238703630865
52,13470.909818075597
53,13470.059408806264
54,13469.510859809816
55,13469.145483337343
56,13468.888550065458
57,13545.185250788927
58,13496.284558437765
59,13484.897575341165
60,13863.574086378017
61,13967.32651318113
62,14020.195088038841
63,14061.021252224842
64,14079.247773252428
65,14100.397472890714
66,14111.550582262376
67,14117.814341249565
68,14121.564944895605
69,14297.091819345951
70,14561.773696293434
71,14645.401080449423
72,14699.19423510631
73,14735.717670371136
74,15139.960154891014
75,15267.948500812054
76,15335.430644452572
77,15234.42725247393
78,15200.327621462444
79,15326.743323355913
80,15378.812711685896
81,15404.593266546726
82,15424.351121298969
83,15437.207992188632
84,15445.372226648033
85,14531.597435474396
86,15172.019705176353
87,15877.547700268527
88,15486.114515922964
89,15479.642159305513
90,15461.8319561705
91,15460.829219780862
92,15462.762868963182
93,15302.213629335165
94,15242.987138777971
95,15075.842001785835
96,15321.413811296225
97,15395.000588148832
98,15022.175127267838
99,14962.633000065884
100,14919.780501474937
101,14882.538322669765
102,14860.855941039821
103,14153.586765130362
104,15092.066258192062
105,15482.369146309793
106,15208.020462654531
107,15380.521912127733
108,15049.225882937511
109,14971.192748596271
110,14926.057764639458
111,14741.265166550875
112,14661.573719233274
113,14616.414334625006
114,14583.885323256254
115,14758.940715653202
116,14786.955867273113
117,14797.08716676881
118,14636.567372828722
119,14590.835224837065
120,14564.856573008
121,14544.118738733232
122,15003.570463508368
123,15081.32665976882
124,14982.555857859552
125,14902.763184470436
126,15085.353214293718
127,15295.965682715178
128,15213.693371973932
129,15214.848733507097
130,15347.334921360016
131,15393.249161541462
132,15417.649794369936
133,15435.506298206747
134,15446.80359493941
135,15453.739061020315
136,15586.347457021475
137,15681.179345895847
138,15678.565747104585
139,15691.134597174823
140,15700.187015347183
141,15832.05083757639
142,15882.124811410904
143,16044.11818087101
144,16253.630571067333
145,16197.660188190639
146,15760.051876306534
147,15643.963430076838
148,15731.148070655763
149,15686.678907833993
150,15565.047084353864
151,15525.84622707218
152,15505.985139869153
153,15492.65858437866
154,15484.665713272989
155,15266.196001321077
156,15171.794313937426
157,15107.72867128253
158,15063.963434658945
159,15035.892738960683
160,15312.200609594584
161,15223.18425681442
162,15219.564168713987
163,15360.295969992876
164,14882.093772292137
165,15192.855644971132
166,15607.778721799454
167,15438.704906962812
168,15630.565689255794
169,15647.161331027746
170,15669.152166694403
171,15573.279715143144
172,15536.796755157411
173,15381.524628649155
174,15273.839963972569
175,15265.578507445753
176,15133.737307041883
177,15074.37904831022
178,14931.39397725463
179,14861.409481614828
180,14819.932690821588
181,14791.310950182378
182,14772.854930721223
183,14760.832152329385
184,14752.913600765169
185,14625.922169536352
186,14476.157624274492
187,14400.958690792322
188,14353.906709700823
