Manipur,Imphal West,Imphal,Other,Pulses,0.60,2800,2800,2800,04 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,70.00,700,900,800,04 Jan 2008
Punjab,Jalandhar,Bhogpur,Other,Pulses,0.80,0,500,0,04 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.70,800,1000,900,04 Jan 2008
Punjab,Patiala,Samana,Other,Pulses,18.00,800,1200,1050,04 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,0.70,600,800,700,04 Jan 2008
Rajasthan,Bikaner,Bikaner(F&V),Other,Pulses,8.50,1150,1250,1200,04 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,53.80,750,950,850,04 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,4.50,460,500,490,04 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,4.50,500,550,525,04 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,17.50,0,0,2025,04 Jan 2008
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,17.50,980,1000,990,04 Jan 2008
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Pulses,21.00,485,515,500,04 Jan 2008
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Pulses,15.00,2200,2400,2300,05 Jan 2008
Gujarat,Dahod,Dahod,Other,Pulses,0.60,1550,1800,1750,05 Jan 2008
Haryana,Hissar,Uklana,Green Peas,Pulses,4.00,1000,1000,1000,05 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,1900,2000,2000,05 Jan 2008
Karnataka,Mysore,Mysore (Bandipalya),Green Peas,Pulses,2.00,2200,2400,2300,05 Jan 2008
Maharashtra,Pune,Junnar(Otur),Other,Pulses,32.70,300,1200,750,05 Jan 2008
Maharashtra,Pune,Pune,Other,Pulses,23.90,1950,2300,2125,05 Jan 2008
Maharashtra,Sholapur,Solapur,Other,Pulses,2.50,2100,2250,2150,05 Jan 2008
Punjab,Jalandhar,Bhogpur,Other,Pulses,0.60,0,600,0,05 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,1.00,800,1000,900,05 Jan 2008
Punjab,Patiala,Samana,Other,Pulses,11.00,800,1200,1050,05 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,2.00,700,1000,800,05 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,40.00,700,900,800,05 Jan 2008
Rajasthan,Nagaur,Degana,Other,Pulses,9.00,2101,2134,2125,05 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,5.70,450,500,475,05 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,18.50,0,0,2025,05 Jan 2008
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,13.00,980,1000,990,05 Jan 2008
Uttar Pradesh,Sultanpur,Sultanpur,Other,Pulses,4.00,1840,1900,1860,05 Jan 2008
Karnataka,Shimoga,Bhadravathi,Green Peas,Pulses,4.00,1500,2400,1950,06 Jan 2008
Maharashtra,Pune,Junnar(Otur),Other,Pulses,30.30,300,1200,750,06 Jan 2008
Maharashtra,Satara,Satara,Other,Pulses,4.20,500,1000,750,06 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,85.90,700,900,800,06 Jan 2008
Punjab,Jalandhar,Bhogpur,Other,Pulses,0.40,0,600,0,06 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.70,900,1000,950,06 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,1.00,600,800,700,06 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,35.00,700,1000,850,06 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,1.00,450,500,476,06 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,2.00,480,500,490,06 Jan 2008
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,20.50,980,1000,990,06 Jan 2008
Uttrakhand,UdhamSinghNagar,Kicchha,Green Peas,Pulses,6.30,300,500,500,06 Jan 2008
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Pulses,22.00,2200,2400,2300,07 Jan 2008
Gujarat,Dahod,Dahod,Other,Pulses,0.10,1550,1800,1725,07 Jan 2008
Gujarat,Kheda,Nadiad,Other,Pulses,31.90,1000,1100,1050,07 Jan 2008
Haryana,Hissar,Uklana,Green Peas,Pulses,7.00,1000,1200,1000,07 Jan 2008
Jammu and Kashmir,Jammu,Jammu (Grain Mandi),Other,Pulses,17.00,2550,2650,2600,07 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,1900,2000,2000,07 Jan 2008
Karnataka,Bangalore,Bangalore,Green Peas,Pulses,58.00,2000,2300,2150,07 Jan 2008
Karnataka,Shimoga,Bhadravathi,Green Peas,Pulses,1.00,1500,2400,1950,07 Jan 2008
Maharashtra,Pune,Junnar(Otur),Other,Pulses,41.00,350,1200,800,07 Jan 2008
Maharashtra,Satara,Satara,Other,Pulses,1.40,500,1000,750,07 Jan 2008
Maharashtra,Sholapur,Solapur,Other,Pulses,0.60,1850,1950,1900,07 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,109.00,700,900,800,07 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.70,800,1000,900,07 Jan 2008
Punjab,Patiala,Samana,Other,Pulses,15.20,800,1300,1100,07 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,1.00,800,1000,900,07 Jan 2008
Rajasthan,Bikaner,Bikaner(F&V),Other,Pulses,14.00,1150,1250,1200,07 Jan 2008
Rajasthan,Nagaur,Degana,Other,Pulses,6.20,2130,2200,2160,07 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,2.00,440,500,480,07 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,0.50,480,500,490,07 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,18.00,0,0,2025,07 Jan 2008
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,16.50,970,1000,980,07 Jan 2008
Uttrakhand,UdhamSinghNagar,Kicchha,Green Peas,Pulses,55.70,700,795,795,07 Jan 2008
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Pulses,29.70,530,580,550,07 Jan 2008
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Pulses,20.00,2200,2400,2300,08 Jan 2008
Gujarat,Dahod,Dahod,Other,Pulses,0.40,1550,1800,1700,08 Jan 2008
Gujarat,Kheda,Nadiad,Other,Pulses,30.65,800,1100,950,08 Jan 2008
Haryana,Hissar,Uklana,Green Peas,Pulses,8.00,700,1000,1000,08 Jan 2008
Jammu and Kashmir,Jammu,Jammu (Grain Mandi),Other,Pulses,19.00,2550,2650,2600,08 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,1900,2000,0,08 Jan 2008
Maharashtra,Kolhapur,Kolhapur(Laxmipuri),Other,Pulses,3.90,2200,2700,2500,08 Jan 2008
Maharashtra,Pune,Junnar(Otur),Other,Pulses,41.90,350,1250,850,08 Jan 2008
Maharashtra,Satara,Satara,Other,Pulses,2.50,500,1000,750,08 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,103.80,700,900,800,08 Jan 2008
Punjab,Jalandhar,Bhogpur,Other,Pulses,1.00,0,600,0,08 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.70,800,1200,1000,08 Jan 2008
Punjab,Patiala,Samana,Other,Pulses,13.90,800,1200,1050,08 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,1.20,800,1000,900,08 Jan 2008
Rajasthan,Bikaner,Bikaner(F&V),Other,Pulses,8.90,1050,1150,1100,08 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,45.00,700,900,800,08 Jan 2008
Rajasthan,Nagaur,Degana,Other,Pulses,4.50,2120,2200,2160,08 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,5.00,450,500,475,08 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,17.50,0,0,2025,08 Jan 2008
Uttar Pradesh,Sultanpur,Sultanpur,Other,Pulses,3.00,1800,1900,1850,08 Jan 2008
Uttrakhand,UdhamSinghNagar,Kicchha,Green Peas,Pulses,90.50,700,763,763,08 Jan 2008
Assam,Kamrup,P.O. Uparhali Guwahati,Other,Pulses,20.00,2200,2400,2300,09 Jan 2008
Gujarat,Dahod,Dahod,Other,Pulses,0.30,1550,1700,1675,09 Jan 2008
Gujarat,Kheda,Nadiad,Other,Pulses,31.60,800,1000,900,09 Jan 2008
Jammu and Kashmir,Jammu,Jammu (Grain Mandi),Other,Pulses,19.00,2550,2650,2600,09 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,1900,2000,2000,09 Jan 2008
Karnataka,Bangalore,Bangalore,Green Peas,Pulses,1.00,2000,2300,2150,09 Jan 2008
Karnataka,Mysore,Mysore (Bandipalya),Green Peas,Pulses,10.00,2750,3100,2900,09 Jan 2008
Maharashtra,Pune,Junnar(Otur),Other,Pulses,71.90,300,1200,950,09 Jan 2008
Maharashtra,Satara,Satara,Other,Pulses,2.70,500,1000,750,09 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.40,800,1200,1000,09 Jan 2008
Punjab,Patiala,Samana,Other,Pulses,23.60,900,1200,1050,09 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,0.80,800,1100,900,09 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,42.50,700,800,750,09 Jan 2008
Rajasthan,Nagaur,Degana,Other,Pulses,4.80,2100,2200,2150,09 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,7.00,440,500,450,09 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,5.50,480,500,490,09 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,18.00,0,0,2025,09 Jan 2008
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,16.50,970,980,975,09 Jan 2008
Uttrakhand,UdhamSinghNagar,Kicchha,Green Peas,Pulses,328.20,400,510,501,09 Jan 2008
Uttrakhand,UdhamSinghNagar,Sitarganj,Other,Pulses,5.00,490,510,500,09 Jan 2008
Haryana,Ambala,Naraingarh,Other,Pulses,0.86,600,800,700,10 Jan 2008
Haryana,Hissar,Uklana,Green Peas,Pulses,9.00,1200,1200,1200,10 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,1900,2000,2000,10 Jan 2008
Karnataka,Mysore,Mysore (Bandipalya),Green Peas,Pulses,20.00,2300,2400,2350,10 Jan 2008
Karnataka,Shimoga,Bhadravathi,Green Peas,Pulses,2.00,1500,2400,1950,10 Jan 2008
Maharashtra,Kolhapur,Kolhapur(Laxmipuri),Other,Pulses,7.20,2300,2800,2600,10 Jan 2008
Maharashtra,Parbhani,Parbhani,Other,Pulses,3.00,850,1000,900,10 Jan 2008
Maharashtra,Sangli,Sangli,Other,Pulses,8.00,1200,2800,2000,10 Jan 2008
Maharashtra,Satara,Satara,Other,Pulses,4.00,400,1000,700,10 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,85.70,700,850,800,10 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.50,800,1000,900,10 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,1.10,800,1200,1000,10 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,56.00,700,800,750,10 Jan 2008
Rajasthan,Nagaur,Deedwana(Choti Khatu),Other,Pulses,0.60,1100,1150,1100,10 Jan 2008
Rajasthan,Nagaur,Degana,Other,Pulses,4.90,2090,2110,2100,10 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,8.00,450,500,475,10 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,9.00,300,350,340,10 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,21.50,0,0,2025,10 Jan 2008
Uttar Pradesh,Raebarelli,Raibareilly,Other,Pulses,9.00,900,930,920,10 Jan 2008
Uttrakhand,UdhamSinghNagar,Kicchha,Green Peas,Pulses,194.20,600,650,615,10 Jan 2008
Haryana,Ambala,Naraingarh,Other,Pulses,0.65,800,900,850,11 Jan 2008
Haryana,Hissar,Uklana,Green Peas,Pulses,6.00,1000,1200,1200,11 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,1750,1800,1800,11 Jan 2008
Karnataka,Hassan,Hassan,Green Peas,Pulses,12.00,1900,2200,2050,11 Jan 2008
Madhya Pradesh,Sagar,Deori,Other,Pulses,6.00,1600,1600,1600,11 Jan 2008
