date,modal
2016-07-18,1400.0
2016-07-21,1551.0
2016-07-22,1525.0
2016-07-28,1400.0
2016-08-14,1750.0
2016-08-19,1851.0
2016-08-20,1571.0
2016-08-23,1680.0
2016-08-26,1600.0
2016-08-29,1650.0
2016-08-30,1600.0
2016-09-03,1650.0
2016-09-05,1450.0
2016-09-06,1450.0
2016-09-08,1405.0
2016-09-09,1481.0
2016-09-10,1201.0
2016-09-12,1561.0
2016-09-13,1976.0
2016-09-15,1340.5
2016-09-16,1544.0
2016-09-17,1824.0
2016-09-18,1466.0
2016-09-19,1615.0
2016-09-22,1480.0
2016-09-23,1492.5
2016-09-24,1431.0
2016-09-26,1550.0
2016-09-27,1480.0
2016-10-03,1350.0
2016-10-11,1281.0
2016-10-13,1411.5
2016-10-14,1523.0
2016-10-15,1531.0
2016-10-18,1460.0
2016-10-20,1762.0
2016-10-21,1491.0
2016-10-22,1417.0
2016-10-23,1450.0
2016-10-24,1523.0
2016-10-27,1361.0
2016-11-03,1525.0
2016-11-04,1455.0
2016-11-06,1225.0
2016-11-10,1601.0
2016-11-20,1661.0
2016-11-21,1600.0
2016-11-24,1651.0
2016-11-27,1661.0
2016-11-28,1500.0
2016-12-01,1586.0
2016-12-02,1750.0
2016-12-03,1632.5
2016-12-05,1700.0
2016-12-08,1851.0
2016-12-09,1702.0
2016-12-11,1580.0
2016-12-15,1721.0
2016-12-17,1250.0
2016-12-19,2851.0
2016-12-22,1600.0
2016-12-24,1465.0
2016-12-26,1605.0
2017-01-03,1860.0
2017-01-05,1690.0
2017-01-06,1642.0
2017-01-08,1400.0
2017-01-09,1751.0
2017-01-15,1500.0
2017-01-16,1750.0
2017-01-19,1730.0
2017-01-21,1551.0
2017-01-23,1550.0
2017-02-07,1501.0
2017-02-10,1575.0
2017-02-12,1680.0
2017-02-13,1700.0
2017-02-14,1450.0
2017-02-16,1650.0
2017-02-20,1642.0
2017-02-28,1650.0
2017-03-04,1534.0
2017-03-16,1595.0
2017-03-18,1550.0
2017-03-19,1801.0
2017-03-20,1700.0
2017-03-25,1600.0
2017-03-26,1530.0
2017-03-30,1572.0
2017-04-03,1750.0
2017-04-04,1500.0
2017-04-09,1580.0
2017-04-10,1580.0
2017-05-02,1588.0
2017-05-13,1592.0
2017-05-26,1250.0
2017-06-02,1501.0
2017-06-15,1458.5
