,0
0,1484.6034310734
1,1464.9690583783358
2,1465.1583609386396
3,1483.2844077288792
4,1506.49369578169
5,3616.9169463113735
6,1266.0568816864252
7,1449.8748476764954
8,1448.22275861394
9,1486.3168842370194
10,1530.395589034886
11,1555.467117604146
12,1521.0416027682993
13,1544.2922486883208
14,1397.55853429601
15,1505.8362413872999
16,1531.5557457351645
17,1417.0539731356528
18,1463.6950502542027
19,1516.0249213896748
20,1511.3466162096736
21,1517.0177819503654
22,1518.664269162251
23,1514.9028208358843
24,1517.026040431077
25,1533.9312190143648
26,1558.5630180696764
27,1567.0116685051148
28,1458.3980975875113
29,1465.9656504112822
30,1479.2508887761496
31,1488.7408763910191
32,1507.124495788479
33,1510.0899725430977
34,1491.608264198451
35,1489.4008003039075
36,1506.5890201454479
37,1512.5970323523086
38,1515.7025614918907
39,1476.0648271576408
40,1476.4568895464902
41,1459.809957776533
42,1451.1163855368775
43,1440.1050119317676
44,1367.4924563046798
45,1386.1883623507224
46,1424.7480151580185
47,1453.8107402619246
48,1445.6533018537145
49,1448.9994160811439
50,1398.80718260729
51,1335.080916439092
52,1358.5774627346125
53,1384.4731456015575
54,1392.587071602067
55,1356.4689025924001
56,1326.5604368937418
57,1361.4073382530894
58,1214.5706777024761
59,1249.4441281364377
60,1255.7309030668237
61,1291.4209044943177
62,1193.9809107977924
63,1232.0163792931571
64,1285.4702631117293
65,1334.6587202200353
66,1362.467340260303
67,1356.1732210299037
68,1357.0216429807042
69,1201.0122719679896
70,1241.3082743577938
71,1272.86332756529
72,1265.4499310373672
73,1291.8422882032698
74,1300.9083951543528
75,1319.4994851532847
76,1368.8055555129558
77,964.3353203746833
78,986.8844865041792
79,909.4784566053938
80,981.8708672931319
81,926.4013332323472
82,1197.4457511159535
83,1241.260732018136
84,1343.716006959142
85,1315.4178534077546
86,1260.1472310074103
87,1233.1702658571335
88,1224.1938361496404
89,1221.0352867819313
90,1226.466588979713
91,1252.183402987463
92,1265.5117482227859
93,1250.9345681006018
94,1246.2041314974158
95,1270.5770664397899
96,1295.134866378137
97,1315.7949398112235
98,1326.3184096993025
99,1332.496672670196
100,1343.2935105469965
101,1341.8141091965988
102,1339.2450336224845
103,1357.1916305605405
104,1354.404215604347
105,1338.496895491526
106,1347.2920875707687
107,1289.0090741389395
108,1309.154806663163
109,1368.571701642714
110,1428.5223322058182
111,1426.6636665133337
112,1424.0695774063315
113,1390.0916994077932
114,1369.5473670546119
115,1368.3191043371894
116,1353.3218097927652
117,1360.7681020959105
118,1388.3809170636528
119,1404.0116644052287
120,1395.2038525083224
121,1379.652391524794
122,1382.8680966346965
123,1383.5646894731299
124,1378.3688803921011
125,1383.4571640464512
126,1389.948708050754
127,1397.0606560837027
128,1400.6442351367607
129,1401.9806452358278
130,1400.5068089297051
131,1396.4790403096936
132,1396.8856255933863
133,1397.3847596328308
134,1390.7826057601656
135,1387.8690297375235
136,1381.6754207790345
137,1380.6532874934521
138,1383.99007690598
139,1388.2918944495998
140,1388.2191662588377
141,1407.9344875074185
142,1432.7963017458233
143,1419.693188335732
144,1388.024443061188
145,1383.4808945983116
146,1386.1701379599272
147,1387.924086254609
148,1386.8037677040159
149,1390.5006957378082
150,1386.641026231042
151,1379.5242467488038
152,1375.2528428592657
153,1381.1022403118116
154,1388.4111920186997
155,1386.420234503623
156,1390.2883109789118
157,1392.421483372417
158,1387.612132476246
159,1384.566701006804
160,1386.9173010149407
161,1393.2323577919858
162,1386.8335474980177
163,1413.3286924259667
164,1409.8896895590806
165,1393.3374749791926
166,1390.6039891500616
167,1387.0660987266915
168,1383.2400778792517
169,1388.8586936623178
170,1390.9262207210184
171,1388.498504026832
172,1384.4250796637214
173,1382.316907005585
174,1386.821476943228
175,1391.2863160355114
176,1397.95070426347
177,1392.3498305586177
178,1396.1346274320583
179,1390.1435896950472
180,1386.291019059143
181,1390.072483049707
182,1398.0051303899409
183,1402.9719183067407
184,1400.467681093687
185,1397.1596006956615
186,1397.7571021412127
187,1395.1160526739545
188,1392.4677113663413
189,1392.188150867374
190,1393.4238406919094
191,1400.1010309491985
192,1395.7904581963796
193,1398.5508915937946
194,1398.7766268089472
195,1401.6664404904113
196,1404.3658149428427
197,1401.2298773428693
198,1400.06466378065
199,1399.3541148448094
200,1402.4877659325093
201,1409.290656540753
202,1434.5037952486505
203,1433.2852083369226
204,1417.6642967083499
205,1392.815561552833
206,1395.8500601722599
207,1403.5566715849159
208,1404.1115754204689
209,1406.0343857110456
210,1412.6673689093336
211,1413.1124868130844
212,1423.507216564627
213,1430.0334991009177
214,1412.7576700990978
215,1414.9149400236126
216,1427.1888450646366
217,1430.3882690927267
218,1455.027855716593
219,1449.8211739127964
220,1424.1537537896202
221,1447.1503158779744
222,1445.7379130633842
223,1440.0856098565869
224,1435.6774821339575
225,1437.532717446296
226,1427.6405071337574
227,1420.7856407410752
228,1436.4203544555508
229,1438.303211938535
230,1430.0582417664725
231,1421.421877478476
232,1428.044960672498
233,1419.9406748023014
234,1416.4066306309057
235,1412.2696269198566
236,1415.6089709775795
237,1419.9051468812074
238,1410.6551286799945
239,1410.8563614014192
240,1407.2269434924972
241,1410.4927808067998
242,1397.9707924977954
243,1417.8823443125177
244,1408.0514376097378
245,1396.4836161280282
246,1399.3493468092572
247,1420.5686687483992
248,1366.7310574209891
249,1374.7204813693286
